"...1","X","address","nhood","lat","long","month","year","block","street_name","street_type","centroid_lat","centroid_long","year_nhood","month_year_nhood","dummy"
67,172,"0 Block Of Godeus  Street","Bernal Heights",37.7425966684938,-122.421128194273,10,2016,0,"Godeus","Street",37.741391,-122.414033,"2016 Bernal Heights","10 2016 Bernal Heights",1
68,173,"1900 Block Of Fell  Street","Golden Gate Park",37.7724732922176,-122.449964940454,4,2014,1900,"Fell","Street",37.769283,-122.473486,"2014 Golden Gate Park","4 2014 Golden Gate Park",1
69,174,"4400 Block Of Fulton  Street","Golden Gate Park",37.7727900754469,-122.479370765879,11,2018,4400,"Fulton","Street",37.769283,-122.473486,"2018 Golden Gate Park","11 2018 Golden Gate Park",1
70,177,"800 Block Of Rhode Island  Street","Potrero Hill",37.7590391224986,-122.402018166662,4,2018,800,"Rhode Island","Street",37.759056,-122.398618,"2018 Potrero Hill","4 2018 Potrero Hill",1
71,178,"100 Block Of Alta  Street","North Beach",37.8014909797705,-122.404843052572,2,2015,100,"Alta","Street",37.799254,-122.407458,"2015 North Beach","2 2015 North Beach",1
72,180,"700 Block Of Monterey  Boulevard","West of Twin Peaks",37.7315690074917,-122.452277921091,5,2013,700,"Monterey","Boulevard",37.737955,-122.460363,"2013 West of Twin Peaks","5 2013 West of Twin Peaks",1
73,181,"1100 Block Of California  Street","Nob Hill",37.7915217795014,-122.4132840942,6,2015,1100,"California","Street",37.793044,-122.414461,"2015 Nob Hill","6 2015 Nob Hill",1
74,182,"500 Block Of Shotwell  Street","Mission",37.7596317474701,-122.415854022503,3,2014,500,"Shotwell","Street",37.758338,-122.414678,"2014 Mission","3 2014 Mission",1
75,184,"1900 Block Of Mission  Street","Mission",37.7658624701092,-122.41974710367,10,2013,1900,"Mission","Street",37.758338,-122.414678,"2013 Mission","10 2013 Mission",1
76,185,"100 Block Of Pfeiffer  Street","North Beach",37.8047717552586,-122.408935742328,5,2012,100,"Pfeiffer","Street",37.799254,-122.407458,"2012 North Beach","5 2012 North Beach",1
77,187,"100 Block Of Lexington  Street","Mission",37.7609475242044,-122.420736134216,5,2017,100,"Lexington","Street",37.758338,-122.414678,"2017 Mission","5 2017 Mission",1
78,188,"800 Block Of Russia  Avenue","Excelsior/Outer Mission",37.7183388814491,-122.430378025548,4,2018,800,"Russia","Avenue",37.7223,-122.431224,"2018 Excelsior","4 2018 Excelsior",1
79,189,"1700 Block Of 22nd  Street","Potrero Hill",37.7573300875145,-122.398454594388,3,2014,1700,"22nd","Street",37.759056,-122.398618,"2014 Potrero Hill","3 2014 Potrero Hill",1
80,190,"1000 Block Of Sanchez  Street","Glen Park/Noe Valley",37.7527602390678,-122.429769539882,2,2016,1000,"Sanchez","Street",37.747095,-122.431421,"2016 Noe Valley","2 2016 Noe Valley",1
81,193,"600 Block Of Powell  Street","Nob Hill",37.7904861893062,-122.408852945231,5,2013,600,"Powell","Street",37.793044,-122.414461,"2013 Nob Hill","5 2013 Nob Hill",1
82,194,"3100 Block Of Lincoln  Way","Sunset/Parkside",37.7647682351803,-122.491718058101,1,2017,3100,"Lincoln","Way",37.749026,-122.493742,"2017 Sunset/Parkside","1 2017 Sunset/Parkside",1
83,195,"100 Block Of Alhambra  Street","Marina",37.8019883783291,-122.43879528873,6,2015,100,"Alhambra","Street",37.802877,-122.436969,"2015 Marina","6 2015 Marina",1
84,196,"2100 Block Of Vallejo  Street","Marina",37.7955396525087,-122.432648449098,12,2012,2100,"Vallejo","Street",37.802877,-122.436969,"2012 Marina","12 2012 Marina",1
85,197,"1000 Block Of Pierce  Street","Western Addition",37.7793899393374,-122.435289224111,4,2018,1000,"Pierce","Street",37.780587,-122.43451,"2018 Western Addition","4 2018 Western Addition",1
86,198,"600 Block Of Ellis  Street","Tenderloin",37.7843422922783,-122.416889243877,8,2017,600,"Ellis","Street",37.784141,-122.414748,"2017 Tenderloin","8 2017 Tenderloin",1
87,200,"400 Block Of Los Palmos  Drive","West of Twin Peaks",37.7344825578926,-122.451760404904,10,2013,400,"Los Palmos","Drive",37.737955,-122.460363,"2013 West of Twin Peaks","10 2013 West of Twin Peaks",1
88,201,"100 Block Of Stonecrest  Drive","West of Twin Peaks",NA,NA,8,2016,100,"Stonecrest","Drive",37.737955,-122.460363,"2016 West of Twin Peaks","8 2016 West of Twin Peaks",1
89,203,"1300 Block Of Market  Street","Tenderloin",37.7770444893888,-122.416930565378,6,2018,1300,"Market","Street",37.784141,-122.414748,"2018 Tenderloin","6 2018 Tenderloin",1
90,204,"1300 Block Of Francisco  Street","Marina",37.8028943632832,-122.427387755904,8,2015,1300,"Francisco","Street",37.802877,-122.436969,"2015 Marina","8 2015 Marina",1
91,205,"3900 Block Of Mission  Street","Bernal Heights",NA,NA,8,2017,3900,"Mission","Street",37.741391,-122.414033,"2017 Bernal Heights","8 2017 Bernal Heights",1
92,206,"1200 Block Of Thomas  Avenue","Bayview Hunters Point",37.7267020075959,-122.38474627983,1,2014,1200,"Thomas","Avenue",37.730696,-122.388515,"2014 Bayview Hunters Point","1 2014 Bayview Hunters Point",1
93,209,"1000 Block Of Phelps  Street","Bayview Hunters Point",37.7389153318407,-122.392111818455,3,2018,1000,"Phelps","Street",37.730696,-122.388515,"2018 Bayview Hunters Point","3 2018 Bayview Hunters Point",1
94,210,"3100 Block Of 24th  Street","Mission",37.7524728577954,-122.414629161816,4,2017,3100,"24th","Street",37.758338,-122.414678,"2017 Mission","4 2017 Mission",1
95,211,"600 Block Of Bush  Street","Nob Hill",37.7902986216025,-122.40768471833,5,2012,600,"Bush","Street",37.793044,-122.414461,"2012 Nob Hill","5 2012 Nob Hill",1
96,213,"900 Block Of Edinburgh  Street","Excelsior/Outer Mission",37.7151342064097,-122.436593528783,8,2013,900,"Edinburgh","Street",37.7223,-122.431224,"2013 Excelsior","8 2013 Excelsior",1
97,214,"2100 Block Of Taylor  Street","Russian Hill",37.8021548660574,-122.414586772169,2,2012,2100,"Taylor","Street",37.800432,-122.417609,"2012 Russian Hill","2 2012 Russian Hill",1
98,216,"100 Block Of Cordova  Street","Excelsior/Outer Mission",37.7119206734438,-122.435697922169,10,2017,100,"Cordova","Street",37.7223,-122.431224,"2017 Excelsior","10 2017 Excelsior",1
99,218,"600 Block Of Andover  Street","Bernal Heights",37.7352464744365,-122.416791553536,1,2018,600,"Andover","Street",37.741391,-122.414033,"2018 Bernal Heights","1 2018 Bernal Heights",1
100,219,"1200 Block Of Egbert  Avenue","Bayview Hunters Point",37.7210810577831,-122.389831273989,4,2014,1200,"Egbert","Avenue",37.730696,-122.388515,"2014 Bayview Hunters Point","4 2014 Bayview Hunters Point",1
101,221,"300 Block Of 19th  Avenue","Outer Richmond",37.7813447849475,-122.478374190994,4,2014,300,"19th","Avenue",37.776683,-122.489908,"2014 Outer Richmond","4 2014 Outer Richmond",1
102,222,"1700 Block Of 25th  Avenue","Sunset/Parkside",37.7548908111626,-122.482966905455,2,2017,1700,"25th","Avenue",37.749026,-122.493742,"2017 Sunset/Parkside","2 2017 Sunset/Parkside",1
103,223,"2400 Block Of Washington  Street","Pacific Heights",37.7916956506027,-122.433560019442,4,2014,2400,"Washington","Street",37.792182,-122.432784,"2014 Pacific Heights","4 2014 Pacific Heights",1
104,224,"3400 Block Of Taraval  Street","Sunset/Parkside",37.7418374581518,-122.503012850305,6,2016,3400,"Taraval","Street",37.749026,-122.493742,"2016 Sunset/Parkside","6 2016 Sunset/Parkside",1
105,225,"400 Block Of Union  Street","North Beach",37.8007616260161,-122.406604504045,10,2014,400,"Union","Street",37.799254,-122.407458,"2014 North Beach","10 2014 North Beach",1
106,226,"500 Block Of 26th  Avenue","Outer Richmond",NA,NA,8,2015,500,"26th","Avenue",37.776683,-122.489908,"2015 Outer Richmond","8 2015 Outer Richmond",1
107,228,"100 Block Of Font  Boulevard","Lakeshore",37.7155014475134,-122.473671964909,6,2018,100,"Font","Boulevard",37.71872,-122.477916,"2018 Lakeshore","6 2018 Lakeshore",1
108,229,"300 Block Of Arballo  Drive","Lakeshore",37.7201216986585,-122.483037116654,2,2016,300,"Arballo","Drive",37.71872,-122.477916,"2016 Lakeshore","2 2016 Lakeshore",1
109,230,"600 Block Of Francisco  Street","Russian Hill",37.804316381084,-122.416373876361,9,2015,600,"Francisco","Street",37.800432,-122.417609,"2015 Russian Hill","9 2015 Russian Hill",1
110,233,"2200 Block Of Polk  Street","Russian Hill",37.7975977981974,-122.422101896741,7,2014,2200,"Polk","Street",37.800432,-122.417609,"2014 Russian Hill","7 2014 Russian Hill",1
111,234,"500 Block Of Naples  Street","Excelsior/Outer Mission",37.7200771019549,-122.431795115051,8,2018,500,"Naples","Street",37.7223,-122.431224,"2018 Excelsior","8 2018 Excelsior",1
112,236,"1100 Block Of Church  Street","Glen Park/Noe Valley",37.7528708066516,-122.427543275772,6,2014,1100,"Church","Street",37.747095,-122.431421,"2014 Noe Valley","6 2014 Noe Valley",1
113,237,"500 Block Of John Muir  Drive","Lakeshore",37.7143630245997,-122.49198854568,6,2017,500,"John Muir","Drive",37.71872,-122.477916,"2017 Lakeshore","6 2017 Lakeshore",1
114,238,"1200 Block Of 18th  Avenue","Inner Sunset",37.7645536025051,-122.476120506018,7,2014,1200,"18th","Avenue",37.762068,-122.467189,"2014 Inner Sunset","7 2014 Inner Sunset",1
115,239,"2100 Block Of Taylor  Street","Russian Hill",37.8021548660574,-122.414586772169,9,2017,2100,"Taylor","Street",37.800432,-122.417609,"2017 Russian Hill","9 2017 Russian Hill",1
116,240,"2900 Block Of Washington  Street","Pacific Heights",37.790647460285,-122.441819367324,10,2014,2900,"Washington","Street",37.792182,-122.432784,"2014 Pacific Heights","10 2014 Pacific Heights",1
117,242,"0 Block Of Camp  Street","Mission",37.7640024624896,-122.4233782117,8,2014,0,"Camp","Street",37.758338,-122.414678,"2014 Mission","8 2014 Mission",1
118,243,"1900 Block Of Jefferson  Street","Marina",37.8045317888725,-122.444625599897,11,2013,1900,"Jefferson","Street",37.802877,-122.436969,"2013 Marina","11 2013 Marina",1
119,246,"0 Block Of Eureka  Street","Castro/Upper Market",37.7611980596452,-122.438313762272,9,2015,0,"Eureka","Street",37.758812,-122.435644,"2015 Castro/Upper Market","9 2015 Castro/Upper Market",1
120,247,"600 Block Of Eddy  Street","Tenderloin",37.7832061469448,-122.418355240671,8,2015,600,"Eddy","Street",37.784141,-122.414748,"2015 Tenderloin","8 2015 Tenderloin",1
121,248,"100 Block Of Crespi  Drive","Lakeshore",37.7190695324334,-122.477069560336,2,2015,100,"Crespi","Drive",37.71872,-122.477916,"2015 Lakeshore","2 2015 Lakeshore",1
122,252,"400 Block Of 22nd  Avenue","Outer Richmond",37.7792686333035,-122.481448179721,10,2016,400,"22nd","Avenue",37.776683,-122.489908,"2016 Outer Richmond","10 2016 Outer Richmond",1
123,253,"200 Block Of Leavenworth  Street","Tenderloin",NA,NA,2,2015,200,"Leavenworth","Street",37.784141,-122.414748,"2015 Tenderloin","2 2015 Tenderloin",1
124,254,"500 Block Of Chenery  Street","Glen Park/Noe Valley",37.7350514098186,-122.431029310338,10,2018,500,"Chenery","Street",37.735976,-122.434464,"2018 Glen Park","10 2018 Glen Park",1
125,257,"2500 Block Of Lombard  Street","Marina",37.7989471738311,-122.443492928547,3,2012,2500,"Lombard","Street",37.802877,-122.436969,"2012 Marina","3 2012 Marina",1
126,258,"2700 Block Of Polk  Street","Russian Hill",37.802023894197,-122.422994802605,11,2018,2700,"Polk","Street",37.800432,-122.417609,"2018 Russian Hill","11 2018 Russian Hill",1
127,259,"1600 Block Of Florida  Street","Bernal Heights",37.7472088989769,-122.409168155678,12,2013,1600,"Florida","Street",37.741391,-122.414033,"2013 Bernal Heights","12 2013 Bernal Heights",1
128,260,"2000 Block Of Market  Street","Castro/Upper Market",37.7683537570212,-122.427731043794,11,2015,2000,"Market","Street",37.758812,-122.435644,"2015 Castro/Upper Market","11 2015 Castro/Upper Market",1
129,261,"2200 Block Of Washington  Street","Pacific Heights",37.7921126801769,-122.430269595651,10,2011,2200,"Washington","Street",37.792182,-122.432784,"2011 Pacific Heights","10 2011 Pacific Heights",1
130,262,"5800 Block Of Mission  Street","Excelsior/Outer Mission",37.7091095440867,-122.451774197523,2,2013,5800,"Mission","Street",37.709585,-122.455082,"2013 Outer Mission","2 2013 Outer Mission",1
131,264,"1600 Block Of 22nd  Avenue","Sunset/Parkside",37.7568959108077,-122.479881129561,12,2015,1600,"22nd","Avenue",37.749026,-122.493742,"2015 Sunset/Parkside","12 2015 Sunset/Parkside",1
132,265,"500 Block Of Diamond  Street","Glen Park/Noe Valley",37.7539491478314,-122.43656316927,8,2013,500,"Diamond","Street",37.747095,-122.431421,"2013 Noe Valley","8 2013 Noe Valley",1
133,268,"0 Block Of Oakwood  Street","Mission",37.760692339262,-122.424944025614,1,2018,0,"Oakwood","Street",37.758338,-122.414678,"2018 Mission","1 2018 Mission",1
134,269,"1500 Block Of Jones  Street","Nob Hill",37.7954327369839,-122.414915543628,11,2018,1500,"Jones","Street",37.793044,-122.414461,"2018 Nob Hill","11 2018 Nob Hill",1
135,270,"500 Block Of Natoma  Street","Financial District/South Beach/SOMA",37.7788549923578,-122.409373621244,8,2012,500,"Natoma","Street",37.779527,-122.405727,"2012 South of Market","8 2012 South of Market",1
136,271,"1800 Block Of Grove  Street","Lone Mountain/USF",37.7747692366893,-122.447080736421,11,2015,1800,"Grove","Street",37.777975,-122.452816,"2015 Lone Mountain/USF","11 2015 Lone Mountain/USF",1
137,272,"100 Block Of Sickles  Avenue","Excelsior/Outer Mission",37.7094228222895,-122.453568350326,12,2012,100,"Sickles","Avenue",37.709585,-122.455082,"2012 Outer Mission","12 2012 Outer Mission",1
138,273,"600 Block Of Tompkins  Avenue","Bernal Heights",37.7370171301203,-122.412548482851,6,2015,600,"Tompkins","Avenue",37.741391,-122.414033,"2015 Bernal Heights","6 2015 Bernal Heights",1
139,275,"1200 Block Of Waller  Street","Haight Ashbury/Hayes Valley",37.7693906154987,-122.44428371162,6,2015,1200,"Waller","Street",37.76991,-122.447678,"2015 Haight Ashbury","6 2015 Haight Ashbury",1
140,278,"1400 Block Of Larkin  Street","Nob Hill",37.7912460334511,-122.419128973471,2,2016,1400,"Larkin","Street",37.793044,-122.414461,"2016 Nob Hill","2 2016 Nob Hill",1
141,281,"600 Block Of Vienna  Street","Excelsior/Outer Mission",37.7181381069976,-122.432169389704,8,2018,600,"Vienna","Street",37.7223,-122.431224,"2018 Excelsior","8 2018 Excelsior",1
142,282,"2400 Block Of 27th  Avenue","Sunset/Parkside",37.7417392177689,-122.484197953089,7,2014,2400,"27th","Avenue",37.749026,-122.493742,"2014 Sunset/Parkside","7 2014 Sunset/Parkside",1
143,283,"700 Block Of Guerrero  Street","Mission",37.7587603478483,-122.423574254341,3,2018,700,"Guerrero","Street",37.758338,-122.414678,"2018 Mission","3 2018 Mission",1
144,284,"1300 Block Of Golden Gate  Avenue","Western Addition",37.7794593688973,-122.432773871804,1,2012,1300,"Golden Gate","Avenue",37.780587,-122.43451,"2012 Western Addition","1 2012 Western Addition",1
145,287,"1400 Block Of 12th  Avenue","Inner Sunset",37.761102347384,-122.469327489751,10,2016,1400,"12th","Avenue",37.762068,-122.467189,"2016 Inner Sunset","10 2016 Inner Sunset",1
146,288,"1900 Block Of Baker  Street","Pacific Heights",37.7890136353375,-122.444029744548,12,2013,1900,"Baker","Street",37.792182,-122.432784,"2013 Pacific Heights","12 2013 Pacific Heights",1
