"","nhood_month_year","avg_rent.mq","year","nhood"
"74","2013 Nob Hill",46.1354673616587,"2013","Nob Hill"
"75","2013 North Beach",45.7363748420626,"2013","North Beach"
"76","2013 Outer Richmond",26.5742734122713,"2013","Outer Richmond"
"77","2013 Pacific Heights",44.4392607548888,"2013","Pacific Heights"
"78","2013 Portola",25.6929675781352,"2013","Portola"
"79","2013 Potrero Hill",37.4923819543547,"2013","Potrero Hill"
"80","2013 Presidio Heights",37.9228099981206,"2013","Presidio Heights"
"81","2013 Russian Hill",48.0424977858564,"2013","Russian Hill"
"83","2013 Seacliff",25.2032973238422,"2013","Seacliff"
"84","2013 Sunset/Parkside",29.4863806648039,"2013","Sunset/Parkside"
"85","2013 Tenderloin",45.6505792863549,"2013","Tenderloin"
"86","2013 Twin Peaks",39.7905867165356,"2013","Twin Peaks"
"87","2013 Visitacion Valley",23.4784033383328,"2013","Visitacion Valley"
"88","2013 West of Twin Peaks",27.5832206479097,"2013","West of Twin Peaks"
"89","2013 Western Addition",44.4864145126121,"2013","Western Addition"
"90","2014 Bayview Hunters Point",24.8191257561887,"2014","Bayview Hunters Point"
"91","2014 Bernal Heights",44.0288011520632,"2014","Bernal Heights"
"92","2014 Castro/Upper Market",45.7036489214055,"2014","Castro/Upper Market"
"93","2014 Excelsior/Outer Mission",32.1592047142502,"2014","Excelsior/Outer Mission"
"94","2014 Financial District/South Beach/SOMA",48.5613597845672,"2014","Financial District/South Beach/SOMA"
"95","2014 Glen Park/Noe Valley",39.6143239007994,"2014","Glen Park/Noe Valley"
"96","2014 Haight Ashbury/Hayes Valley",36.1317480320449,"2014","Haight Ashbury/Hayes Valley"
"97","2014 Inner Richmond",35.7475933108093,"2014","Inner Richmond"
"98","2014 Inner Sunset",30.1305457649809,"2014","Inner Sunset"
"99","2014 Lakeshore",42.8235632821838,"2014","Lakeshore"
"100","2014 Lone Mountain/USF",42.6906408876957,"2014","Lone Mountain/USF"
"101","2014 Marina",42.7994095734542,"2014","Marina"
"102","2014 Mission",40.335880613991,"2014","Mission"
"103","2014 Nob Hill",50.1589686925928,"2014","Nob Hill"
"104","2014 North Beach",47.1737142847962,"2014","North Beach"
"105","2014 Oceanview/Merced/Ingleside",33.5969451428444,"2014","Oceanview/Merced/Ingleside"
"106","2014 Pacific Heights",42.8245183973314,"2014","Pacific Heights"
"107","2014 Portola",28.2535019904906,"2014","Portola"
"108","2014 Potrero Hill",38.819072508806,"2014","Potrero Hill"
"109","2014 Presidio Heights",47.2449543146671,"2014","Presidio Heights"
"110","2014 Russian Hill",47.2768512817154,"2014","Russian Hill"
"112","2014 Seacliff",25.6825806311608,"2014","Seacliff"
"113","2014 Sunset/Parkside",39.2568244810406,"2014","Sunset/Parkside"
"114","2014 Tenderloin",45.9096166940253,"2014","Tenderloin"
"115","2014 Visitacion Valley",24.9117412947635,"2014","Visitacion Valley"
"116","2014 West of Twin Peaks",27.9179732448249,"2014","West of Twin Peaks"
"117","2014 Western Addition",48.4391819160388,"2014","Western Addition"
"118","2015 Bayview Hunters Point",33.795062462893,"2015","Bayview Hunters Point"
"119","2015 Bernal Heights",45.8505030096632,"2015","Bernal Heights"
"120","2015 Castro/Upper Market",49.3367531613781,"2015","Castro/Upper Market"
"121","2015 Excelsior/Outer Mission",36.0945608758489,"2015","Excelsior/Outer Mission"
"122","2015 Financial District/South Beach/SOMA",54.218942526971,"2015","Financial District/South Beach/SOMA"
"123","2015 Glen Park/Noe Valley",42.6364728544871,"2015","Glen Park/Noe Valley"
"124","2015 Haight Ashbury/Hayes Valley",50.8345999832001,"2015","Haight Ashbury/Hayes Valley"
"125","2015 Inner Richmond",37.7113711247302,"2015","Inner Richmond"
"126","2015 Inner Sunset",40.9664053454191,"2015","Inner Sunset"
"127","2015 Lakeshore",34.7814945764758,"2015","Lakeshore"
"128","2015 Lone Mountain/USF",45.7730641241784,"2015","Lone Mountain/USF"
"129","2015 Marina",49.0165272962241,"2015","Marina"
"130","2015 Mission",49.5875084518314,"2015","Mission"
"131","2015 Nob Hill",59.4823729700026,"2015","Nob Hill"
"132","2015 North Beach",49.6990267157757,"2015","North Beach"
"133","2015 Oceanview/Merced/Ingleside",36.8566940431433,"2015","Oceanview/Merced/Ingleside"
"134","2015 Pacific Heights",49.7190508859573,"2015","Pacific Heights"
"135","2015 Portola",32.57392405138,"2015","Portola"
"136","2015 Potrero Hill",48.1856067769711,"2015","Potrero Hill"
"137","2015 Presidio Heights",42.7392149084099,"2015","Presidio Heights"
"138","2015 Russian Hill",50.3683026685272,"2015","Russian Hill"
"140","2015 Seacliff",31.7560617207856,"2015","Seacliff"
"141","2015 Sunset/Parkside",36.723016507276,"2015","Sunset/Parkside"
"142","2015 Tenderloin",52.7927307527164,"2015","Tenderloin"
"143","2015 Twin Peaks",46.9224867519947,"2015","Twin Peaks"
"144","2015 Visitacion Valley",30.8362806909631,"2015","Visitacion Valley"
"145","2015 West of Twin Peaks",34.0752159197779,"2015","West of Twin Peaks"
"146","2015 Western Addition",49.6052476069138,"2015","Western Addition"
"147","2016 Bayview Hunters Point",35.1176770688239,"2016","Bayview Hunters Point"
"148","2016 Bernal Heights",39.0907453124436,"2016","Bernal Heights"
"149","2016 Castro/Upper Market",48.1119183973619,"2016","Castro/Upper Market"
"150","2016 Excelsior/Outer Mission",41.3477714543139,"2016","Excelsior/Outer Mission"
"151","2016 Financial District/South Beach/SOMA",51.3485870281598,"2016","Financial District/South Beach/SOMA"
"152","2016 Glen Park/Noe Valley",44.3130017631579,"2016","Glen Park/Noe Valley"
"153","2016 Haight Ashbury/Hayes Valley",48.4794795798445,"2016","Haight Ashbury/Hayes Valley"
"154","2016 Inner Richmond",39.7051866101558,"2016","Inner Richmond"
"155","2016 Inner Sunset",39.2857090339139,"2016","Inner Sunset"
"156","2016 Lakeshore",57.1827024474822,"2016","Lakeshore"
"157","2016 Lone Mountain/USF",45.0599923493387,"2016","Lone Mountain/USF"
"158","2016 Marina",47.8174518445813,"2016","Marina"
"159","2016 Mission",43.8380734411619,"2016","Mission"
"160","2016 Nob Hill",54.4944330571653,"2016","Nob Hill"
"161","2016 North Beach",49.1189122918324,"2016","North Beach"
"162","2016 Oceanview/Merced/Ingleside",38.3088954974681,"2016","Oceanview/Merced/Ingleside"
"163","2016 Outer Richmond",33.5300595127624,"2016","Outer Richmond"
"164","2016 Pacific Heights",48.0511576842295,"2016","Pacific Heights"
"165","2016 Portola",30.0800200274734,"2016","Portola"
"166","2016 Potrero Hill",48.1873387461447,"2016","Potrero Hill"
"167","2016 Presidio Heights",46.0873603673719,"2016","Presidio Heights"
"168","2016 Russian Hill",50.9097604338458,"2016","Russian Hill"
"170","2016 Seacliff",33.8888008756153,"2016","Seacliff"
"171","2016 Sunset/Parkside",36.4723786136952,"2016","Sunset/Parkside"
"172","2016 Tenderloin",53.9041962896519,"2016","Tenderloin"
"173","2016 Treasure Island",58.4616585888219,"2016","Treasure Island"
"174","2016 Twin Peaks",39.5237249438228,"2016","Twin Peaks"
"175","2016 Visitacion Valley",38.7445070557268,"2016","Visitacion Valley"
"176","2016 West of Twin Peaks",36.8199665159485,"2016","West of Twin Peaks"
"177","2016 Western Addition",38.1161316588546,"2016","Western Addition"
"178","2017 Bayview Hunters Point",41.3178254817225,"2017","Bayview Hunters Point"
"179","2017 Bernal Heights",47.9172541994527,"2017","Bernal Heights"
"180","2017 Castro/Upper Market",48.9357435021848,"2017","Castro/Upper Market"
"181","2017 Excelsior/Outer Mission",30.1394999426636,"2017","Excelsior/Outer Mission"
"182","2017 Financial District/South Beach/SOMA",50.9490696290795,"2017","Financial District/South Beach/SOMA"
"183","2017 Glen Park/Noe Valley",52.7173355887027,"2017","Glen Park/Noe Valley"
"184","2017 Haight Ashbury/Hayes Valley",58.1353100307281,"2017","Haight Ashbury/Hayes Valley"
"185","2017 Inner Richmond",37.1208763376179,"2017","Inner Richmond"
"186","2017 Inner Sunset",41.9084315747394,"2017","Inner Sunset"
"187","2017 Lakeshore",35.1599522424574,"2017","Lakeshore"
"188","2017 Lone Mountain/USF",40.9636520763369,"2017","Lone Mountain/USF"
"189","2017 Marina",53.1140688761562,"2017","Marina"
"190","2017 Mission",54.3580113301278,"2017","Mission"
"191","2017 Nob Hill",52.7854941285175,"2017","Nob Hill"
"192","2017 North Beach",59.2213850017941,"2017","North Beach"
"193","2017 Oceanview/Merced/Ingleside",36.3409783784996,"2017","Oceanview/Merced/Ingleside"
"194","2017 Pacific Heights",49.7222317933869,"2017","Pacific Heights"
"195","2017 Portola",37.5693872812849,"2017","Portola"
"196","2017 Potrero Hill",59.5695040876663,"2017","Potrero Hill"
"197","2017 Presidio Heights",36.007174063769,"2017","Presidio Heights"
"198","2017 Russian Hill",51.0379677895477,"2017","Russian Hill"
"200","2017 Seacliff",31.6481938011353,"2017","Seacliff"
"201","2017 Sunset/Parkside",38.8164026641459,"2017","Sunset/Parkside"
"202","2017 Tenderloin",49.2509015536695,"2017","Tenderloin"
"203","2017 Visitacion Valley",34.0388957071261,"2017","Visitacion Valley"
"204","2017 West of Twin Peaks",64.6349903990035,"2017","West of Twin Peaks"
"205","2018 Bayview Hunters Point",39.7875048695786,"2018","Bayview Hunters Point"
"206","2018 Bernal Heights",43.1283363653426,"2018","Bernal Heights"
"207","2018 Castro/Upper Market",44.3850108799563,"2018","Castro/Upper Market"
"208","2018 Excelsior/Outer Mission",36.1711915483656,"2018","Excelsior/Outer Mission"
"209","2018 Financial District/South Beach/SOMA",54.9403503743034,"2018","Financial District/South Beach/SOMA"
"210","2018 Glen Park/Noe Valley",51.983518350453,"2018","Glen Park/Noe Valley"
"211","2018 Haight Ashbury/Hayes Valley",46.9789364153961,"2018","Haight Ashbury/Hayes Valley"
"212","2018 Inner Richmond",40.2884327140716,"2018","Inner Richmond"
"213","2018 Inner Sunset",52.9811027389069,"2018","Inner Sunset"
"214","2018 Lakeshore",30.5088514582291,"2018","Lakeshore"
"215","2018 Lone Mountain/USF",64.1525540065284,"2018","Lone Mountain/USF"
"216","2018 Marina",44.1669618168096,"2018","Marina"
"217","2018 Mission",45.2551041544261,"2018","Mission"
"218","2018 Nob Hill",50.0188599519934,"2018","Nob Hill"
"219","2018 North Beach",50.7145309829431,"2018","North Beach"
"220","2018 Oceanview/Merced/Ingleside",42.5140619490473,"2018","Oceanview/Merced/Ingleside"
"221","2018 Pacific Heights",49.6430852900358,"2018","Pacific Heights"
"222","2018 Portola",27.626086271627,"2018","Portola"
"223","2018 Potrero Hill",43.3249082568807,"2018","Potrero Hill"
"224","2018 Presidio Heights",46.7091500233799,"2018","Presidio Heights"
"225","2018 Russian Hill",53.4981420149603,"2018","Russian Hill"
"227","2018 Seacliff",37.917425642235,"2018","Seacliff"
"228","2018 Sunset/Parkside",40.4367011214733,"2018","Sunset/Parkside"
"229","2018 Tenderloin",55.1849250279415,"2018","Tenderloin"
"230","2018 Twin Peaks",68.8437279797338,"2018","Twin Peaks"
"231","2018 Visitacion Valley",37.7782671678702,"2018","Visitacion Valley"
"232","2018 West of Twin Peaks",40.3482557753672,"2018","West of Twin Peaks"
"233","2018 Western Addition",42.3027272507322,"2018","Western Addition"
