"","Buyout.Agreement.Date","Buyout.Amount","Address","Analysis.Neighborhood","point"
"52","12/10/2020",NA,"1781 Revere Avenue","Bayview Hunters Point","POINT (-122.39344100537248 37.733488458613074)"
"53","",NA,"334 03rd Avenue","Inner Richmond","POINT (-122.46113444826167 37.782397843414216)"
"54","",NA,"1822 30th Avenue","Sunset/Parkside","POINT (-122.48821295222335 37.7532585547744)"
"55","",NA,"120 Ellis Street","Tenderloin","POINT (-122.4082291970915 37.785477781579594)"
"56","",NA,"445 O’Farrell Street","Tenderloin","POINT (-122.41201727661554 37.78588853444768)"
"57","",NA,"28 Winfield Street","Bernal Heights","POINT (-122.41706335420596 37.74494620631806)"
"58","",NA,"1000 Vicente Street","Sunset/Parkside","POINT (-122.47770229682973 37.739257128391266)"
"59","11/13/2017",17000,"54 Fair Avenue","Bernal Heights","POINT (-122.41913256686573 37.74526041409528)"
"60","07/07/2020",27000,"1554 28th Avenue","Sunset/Parkside","POINT (-122.486420037192 37.75839471647511)"
"61","",NA,"1591 Page Street","Haight Ashbury","POINT (-122.44690708880022 37.77094207062401)"
"62","11/19/2019",32068.88,"203 Carl Street","Inner Sunset","POINT (-122.45290731036754 37.76540311127074)"
"63","",NA,"92 28th Street","Noe Valley","POINT (-122.42431078447161 37.74548265952531)"
"64","",NA,"1161 Alabama Street","Mission","POINT (-122.41100497115997 37.753333239825864)"
"65","01/13/2016",23000,"255 Steiner Street","Haight Ashbury","POINT (-122.43207991466119 37.77160401688146)"
"66","",NA,"713 Lake Street","Inner Richmond","POINT (-122.4670578547312 37.786549363521246)"
"67","",NA,"357 Wilde Avenue","Visitacion Valley","POINT (-122.40393329604491 37.71681022378874)"
"68","",NA,"52 Maynard Street","Excelsior","POINT (-122.42951020498717 37.729199465350526)"
"69","",NA,"4005 California Street","Inner Richmond","POINT (-122.4604622769805 37.785498136127444)"
"70","",NA,"1203 05th Avenue","Inner Sunset","POINT (-122.46220050487594 37.76598682086825)"
"71","",NA,"486 44th Avenue","Outer Richmond","POINT (-122.50509029088349 37.77946863292484)"
"72","",NA,"36 Prague Street","Excelsior","POINT (-122.42532331564463 37.721497169635064)"
"73","",NA,"1262 Vermont Street","Mission","POINT (-122.40349813117031 37.75367371812972)"
"74","",NA,"323 Noe Street","Castro/Upper Market","POINT (-122.43304277902102 37.76379873060794)"
"75","",NA,"2092 California Street","Pacific Heights","POINT (-122.42872482807874 37.789590686796664)"
"76","",NA,"1016 Washington Street","Chinatown","POINT (-122.41020378254841 37.794707501291576)"
"77","01/09/2017",12000,"179 Burnside Avenue","West of Twin Peaks","POINT (-122.4386863983312 37.733637403372455)"
"78","",NA,"1312 California Street","Nob Hill","POINT (-122.41596561930174 37.7912098227136)"
"79","08/29/2017",20000,"443 austin Street","Pacific Heights","POINT (-122.4260539172589 37.788423232495084)"
"80","05/16/2022",170000,"3653 Webster Street","Marina","POINT (-122.43531480284904 37.80431387703296)"
"81","",NA,"375 Euclid Avenue","Presidio Heights","POINT (-122.4523776007607 37.78406397741622)"
"82","07/26/2019",1e+05,"1457 South Van Ness Avenue","Mission","POINT (-122.41600069948619 37.749877253512956)"
"83","",NA,"233 Connecticut Street","Potrero Hill","POINT (-122.3975506423505 37.763354069387866)"
"84","08/25/2017",0,"307 Crestmont Drive","Inner Sunset","POINT (-122.46011489449984 37.75743054765901)"
"85","08/30/2021",7300,"1225 20th Avenue","Sunset/Parkside","POINT (-122.47833595980936 37.764895173683435)"
"86","",NA,"1611 washington Street","Russian Hill","POINT (-122.41984467205057 37.79341254772699)"
"87","06/17/2021",117528.77,"1758 Great Highway","Sunset/Parkside","POINT (-122.50851471561081 37.75361425210264)"
"88","",NA,"724 20th Avenue","Outer Richmond","POINT (-122.47891460954241 37.77418458076033)"
"89","10/31/2019",60000,"406 Faxon Avenue","Oceanview/Merced/Ingleside","POINT (-122.46020426073717 37.72202975086963)"
"90","09/07/2018",70000,"643 Webster Street","Hayes Valley","POINT (-122.42975121241734 37.77665235530214)"
"91","",NA,"646 Ellis Street","Tenderloin","POINT (-122.41686478657499 37.784379540491834)"
"92","",NA,"3099 Washington Street","Pacific Heights","POINT (-122.44419603241774 37.79031928382802)"
"93","11/21/2017",9000,"129 Saturn Street","Castro/Upper Market","POINT (-122.44353482042484 37.76261530138433)"
"94","07/30/2021",90000,"378 Corbett Avenue","Castro/Upper Market","POINT (-122.44604776518332 37.75925257997429)"
"95","",NA,"1670 Newcomb Avenue","Bayview Hunters Point","POINT (-122.39104339990635 37.73597645398889)"
"96","11/24/2015",105733.32,"1165 Shotwell Street","Mission","POINT (-122.41489625820904 37.74982715658295)"
"97","06/23/2021",56000,"711 Hampshire Street","Potrero Hill","POINT (-122.40802387554507 37.76040431722585)"
"98","",NA,"625 Scott Street","Hayes Valley","POINT (-122.43623134516447 37.77548018040248)"
"99","",NA,"316 Grafton Avenue","Oceanview/Merced/Ingleside","POINT (-122.45639055217222 37.72006454317097)"
"100","07/28/2016",15000,"4418 23rd Street","Noe Valley","POINT (-122.44118279487141 37.75250358134349)"
"101","09/23/2015",15000,"551 Page Street","Hayes Valley","POINT (-122.42983183647065 37.77311996852089)"
"102","12/02/2019",60000,"739 40th Avenue","Outer Richmond","POINT (-122.50051106233559 37.77482839204389)"
"103","",NA,"761 Paris Street","Excelsior","POINT (-122.43840882643103 37.717062111834224)"
"104","08/12/2019",23268,"18 Wayne Place","Chinatown","POINT (-122.41091942232347 37.79663469831173)"
"105","06/05/2018",17964.8,"333 san jose Avenue","Mission","POINT (-122.42134786567024 37.74973617591472)"
"106","",NA,"757 Natoma Street","South of Market","POINT (-122.41302724436146 37.77595632586816)"
"107","02/05/2019",50000,"3322 Judah Street","Sunset/Parkside","POINT (-122.49767127719103 37.76082178996188)"
"108","10/05/2018",57000,"1374 46th Avenue","Sunset/Parkside","POINT (-122.50594264413405 37.76093242199474)"
"109","",NA,"2425 Buchanan Street","Pacific Heights","POINT (-122.43118956935857 37.792270273870336)"
"110","07/10/2018",193750,"56 Mason Street","Tenderloin","POINT (-122.40918921274312 37.78386498910406)"
"111","",NA,"655 Stockton Street","Nob Hill","POINT (-122.40747590735671 37.79181479068557)"
"112","",NA,"115 Bartlett Street","Mission","POINT (-122.41980929114588 37.75508053819139)"
"113","",NA,"638 45th Avenue","Outer Richmond","POINT (-122.5059463366822 37.77645256480815)"
"114","",NA,"988 Capp Street","Mission","POINT (-122.41727107936318 37.75094287437003)"
"115","",NA,"315 Park Street","Bernal Heights","POINT (-122.4188519706048 37.73645739814618)"
"116","07/25/2018",6000,"14 Isis Street","Mission","POINT (-122.41449177902692 37.770435502102266)"
"117","",NA,"13 Surrey Street","Glen Park","POINT (-122.43276140730343 37.73495964487418)"
"118","",NA,"770 shotwell Street","Mission","POINT (-122.41556781218054 37.756132167243656)"
"119","",NA,"850 treat Avenue","Mission","POINT (-122.41341622932441 37.75655311764417)"
"120","",NA,"150 Downey Street","Haight Ashbury","POINT (-122.44699442662578 37.76621666765612)"
"121","03/11/2016",20000,"647 Vienna Street","Excelsior","POINT (-122.43212115190602 37.71817208783197)"
"122","",NA,"205 Collins Street","Lone Mountain/USF","POINT (-122.45011147593058 37.781979870017715)"
"123","",NA,"334 San Miguel Street","Oceanview/Merced/Ingleside","POINT (-122.44877198217607 37.719413077498494)"
"124","",NA,"1149 Diamond Street","Noe Valley","POINT (-122.43600837186301 37.74837585176453)"
"125","",NA,"139 Glenview Drive","Twin Peaks","POINT (-122.44766415764786 37.748682324693604)"
"126","10/20/2020",60000,"3479 Mission Street","Bernal Heights","POINT (-122.42265217701227 37.74128491910827)"
"128","06/21/2017",23867.22,"2736 43rd Avenue","Sunset/Parkside","POINT (-122.50096286668624 37.7358875695428)"
"129","",NA,"2038 Palou Avenue","Bayview Hunters Point","POINT (-122.39911688409533 37.73866490759029)"
"130","",NA,"1340 Lombard Street","Russian Hill","POINT (-122.42361505688575 37.8014997479583)"
"131","07/11/2019",85000,"318 San Jose Avenue","Mission","POINT (-122.42144963967712 37.75008595570671)"
"132","",NA,"2341 Market Street","Castro/Upper Market","POINT (-122.43387956825491 37.7634733421831)"
"133","",NA,"130 Majestic Avenue","Oceanview/Merced/Ingleside","POINT (-122.45234746807257 37.716507160026715)"
"134","08/21/2019",85000,"1625 Larkin Street","Russian Hill","POINT (-122.41950127246794 37.79285311878874)"
"135","07/07/2020",65000,"3369 21st Street","Mission","POINT (-122.42261989822683 37.75679020078534)"
"136","06/20/2018",20704,"366 San Carlos Street","Mission","POINT (-122.41978894701992 37.757543505444836)"
"137","03/16/2022",30000,"1950 Pierce Street","Pacific Heights","POINT (-122.43701351984794 37.78802735421496)"
"138","",NA,"3280 20th Street","Mission","POINT (-122.41426867879858 37.75895427327196)"
"139","",NA,"1051 Post Street","Tenderloin","POINT (-122.41912192141453 37.78690913661444)"
"140","",NA,"220 16th Avenue","Outer Richmond","POINT (-122.47531851818572 37.783892674674526)"
"141","",NA,"219 Cumberland Street","Castro/Upper Market","POINT (-122.42860085661327 37.758840360071886)"
"142","",NA,"5600 Fulton Street","Outer Richmond","POINT (-122.49181654680393 37.772254248821596)"
"143","11/15/2017",12562,"566 London Street","Excelsior","POINT (-122.43719754707126 37.720204634797625)"
"144","12/01/2017",475,"1286 Folsom Street","South of Market","POINT (-122.4113971346155 37.77399113367247)"
"145","",NA,"646 Lombard Street","North Beach","POINT (-122.41218645050016 37.80296790103718)"
"146","",NA,"2861 Folsom Street","Mission","POINT (-122.41396920380316 37.75155158616505)"
"147","",NA,"2555 31st Avenue","Sunset/Parkside","POINT (-122.48839292966174 37.73960484279596)"
"149","",NA,"1229 Divisadero Street","Western Addition","POINT (-122.43908538994785 37.78088240424941)"
"150","",NA,"30 Hahn Street","Visitacion Valley","POINT (-122.4150195848412 37.714234790502346)"
"151","",NA,"91 Belcher Street","Castro/Upper Market","POINT (-122.43008146994984 37.76788552617503)"
"152","",NA,"48 Magnolia Street","Marina","POINT (-122.4320304530393 37.80091394645863)"
"153","",NA,"1462 San Bruno Avenue","Mission","POINT (-122.40404775913372 37.74997765078782)"
"154","",NA,"717 40th Avenue","Outer Richmond","POINT (-122.5005372069952 37.775207149606544)"
"155","11/05/2020",65000,"3312 Clay Street","Presidio Heights","POINT (-122.4474579390703 37.78906593336731)"
"156","",NA,"3233 21st Street","Mission","POINT (-122.41955354805634 37.75697476655119)"
"157","",NA,"1918 Mission Street","Mission","POINT (-122.41983822463692 37.76632167947455)"
"158","04/03/2018",60000,"1927 Page Street","Haight Ashbury","POINT (-122.45255910204833 37.77022789245039)"
"159","",NA,"679 34th Avenue","Outer Richmond","POINT (-122.49418273690425 37.77629901100796)"
"160","",NA,"2157 Beach Street","Marina","POINT (-122.44458249389781 37.80355948134956)"
"161","08/02/2016",21613.6,"225 11th Avenue","Inner Richmond","POINT (-122.46991793457532 37.78407207691857)"
"162","06/22/2015",45000,"152 04th Avenue","Inner Richmond","POINT (-122.46245933619834 37.78582522929363)"
"163","",NA,"3754 Sacramento Street","Presidio Heights","POINT (-122.45450557511234 37.787263067601316)"
"164","",NA,"691 O’Farrell Street","Tenderloin","POINT (-122.41607038967466 37.78537901507146)"
"165","",NA,"1278 47th Avenue","Sunset/Parkside","POINT (-122.50714016942413 37.76268067891393)"
"166","",NA,"1431 Grove Street","Hayes Valley","POINT (-122.4402109304185 37.77562237068437)"
"167","10/07/2020",20000,"11 Fielding Street","North Beach","POINT (-122.41006426983617 37.803676159697616)"
"168","",NA,"500 11th Avenue","Inner Richmond","POINT (-122.46946745035356 37.77876561856282)"
"169","",NA,"3632 26th Street","Mission","POINT (-122.42175962063662 37.74885465317911)"
"170","",NA,"2335 Balboa Street","Outer Richmond","POINT (-122.48380749238795 37.77631043227178)"
"171","",NA,"3591 18th Street","Mission","POINT (-122.42356056208668 37.76155892473326)"
"172","",NA,"1830 Jackson Street","Pacific Heights","POINT (-122.42525861001104 37.79368820096481)"
"174","02/01/2016",26385.96,"1026 Montgomery Street","North Beach","POINT (-122.40390139504768 37.79852576970837)"
"175","11/20/2020",50000,"820 Green Street","Russian Hill","POINT (-122.41270429033365 37.79907655562949)"
"177","",NA,"1923 Jackson Street","Pacific Heights","POINT (-122.42677479182622 37.793440510494456)"
"178","05/05/2017",27000,"131 Charles Street","Glen Park","POINT (-122.42579390679423 37.738335556531595)"
"179","",NA,"900 Potrero Avenue","Potrero Hill","POINT (-122.40688587258647 37.757692859195664)"
"180","",NA,"1947 Fulton Street","Lone Mountain/USF","POINT (-122.44872238107094 37.7754946545729)"
"181","",NA,"1338 Stevenson Street","Mission","POINT (-122.42172887237402 37.77095603289943)"
"182","03/25/2021",32400,"1310 Turk Street","Western Addition","POINT (-122.43070735374896 37.780713425481956)"
"183","",NA,"2015 30th Avenue","Sunset/Parkside","POINT (-122.48802025523132 37.749662866329956)"
"184","08/21/2018",5000,"327 05TH Avenue","Inner Richmond","POINT (-122.46335756819289 37.78244122898703)"
"185","",NA,"533 Union Street","North Beach","POINT (-122.40817997829826 37.800545638917534)"
"186","05/14/2018",63824.09,"1574 church Street","Noe Valley","POINT (-122.42690392195529 37.74570173278964)"
"187","05/02/2017",20000,"667 Spruce Street","Presidio Heights","POINT (-122.4533804109456 37.782512108330025)"
"188","05/07/2021",55000,"1409 Anza Street","Inner Richmond","POINT (-122.46326956764112 37.77910840668819)"
"189","12/12/2016",56993,"964 Minnesota Street","Potrero Hill","POINT (-122.39030471759753 37.75833399555425)"
"190","",NA,"40 Parsons Street","Lone Mountain/USF","POINT (-122.45540926971223 37.77522749151937)"
"191","09/05/2017",20953.4,"2364 Pacific Avenue","Pacific Heights","POINT (-122.43414718554659 37.79345625495394)"
"192","",NA,"3738 Judah Street","Sunset/Parkside","POINT (-122.50209639556793 37.76062637130514)"
"193","04/03/2020",1e+05,"495 32nd Avenue","Outer Richmond","POINT (-122.49229145871034 37.779911671222685)"
"194","",NA,"435 Bright Street","Oceanview/Merced/Ingleside","POINT (-122.46359589602834 37.71864231380025)"
"195","12/18/2017",44000,"1575 47th Avenue","Sunset/Parkside","POINT (-122.50681916866498 37.75715236176148)"
"196","05/07/2018",55000,"451 Frederick Street","Haight Ashbury","POINT (-122.4515737722485 37.766534155042216)"
"197","",NA,"2711 18th Street","Mission","POINT (-122.4093555733815 37.76178397530791)"
"198","",NA,"2085 Bush Street","Pacific Heights","POINT (-122.43150596594121 37.78724935061405)"
"199","",NA,"2538 35th Avenue","Sunset/Parkside","POINT (-122.49263340242064 37.73969240613749)"
"200","",NA,"506 Grove Street","Hayes Valley","POINT (-122.42502652263828 37.777607617725344)"
"201","06/28/2017",4500,"2186 Vallejo Street","Marina","POINT (-122.43320205559279 37.795503176999745)"
"202","",NA,"1350 Turk Street","Western Addition","POINT (-122.43131625885675 37.78063560469748)"
"203","",NA,"1132 Alabama Street","Mission","POINT (-122.41111279790672 37.75373538237696)"
"204","",NA,"1121 Alabama Street","Mission","POINT (-122.41106203348329 37.75391373863564)"
"205","02/08/2022",3e+05,"759 Harrison Street","South of Market","POINT (-122.39882858707723 37.78139093422049)"
"206","12/08/2021",35000,"59 Buena Vista Terrace","Castro/Upper Market","POINT (-122.4382516599114 37.76793702312643)"
"207","",NA,"1555 Hyde Street","Russian Hill","POINT (-122.41825715416248 37.795052782954585)"
"208","",NA,"2603 Sacramento Street","Pacific Heights","POINT (-122.43582227913643 37.78958969711221)"
"209","10/31/2018",18500,"188 Banks Street","Bernal Heights","POINT (-122.41271353700142 37.74045591244571)"
"210","07/16/2015",75329,"246 San Carlos Street","Mission","POINT (-122.41995895035005 37.75943367408419)"
"211","",NA,"312 Fillmore Street","Hayes Valley","POINT (-122.43045151114757 37.77229875707065)"
"212","12/01/2021",56000,"567 02nd Avenue","Inner Richmond","POINT (-122.4598185850606 37.77806942903156)"
"213","",NA,"3209 Noriega Street","Sunset/Parkside","POINT (-122.49809599781703 37.753265586264654)"
"214","",NA,"3435 Cesar Chavez Street","Bernal Heights","POINT (-122.41897791888638 37.74807107134142)"
"215","07/10/2019",62500,"756 Chestnut Street","Russian Hill","POINT (-122.41581271844684 37.80346485270565)"
"216","",NA,"545 Oak Street","Hayes Valley","POINT (-122.42829839902575 37.77427231130077)"
"217","",NA,"28 Linda Street","Mission","POINT (-122.4230148386557 37.76117219242129)"
"218","",NA,"232 Pierce Street","Haight Ashbury","POINT (-122.43378176714401 37.772032684699305)"
"219","",NA,"240 Chattanooga Street","Noe Valley","POINT (-122.42646434543582 37.75269776713503)"
"220","",NA,"756 20th Avenue","Outer Richmond","POINT (-122.47887485191309 37.77363384721689)"
"221","",NA,"514 Vallejo Street","North Beach","POINT (-122.405910173804 37.79897049709988)"
"223","09/28/2017",40000,"1844 Anza Street","Inner Richmond","POINT (-122.46786215864277 37.778955456620885)"
"224","",NA,"879 Greenwich Street","Russian Hill","POINT (-122.41413931046198 37.80171180443177)"
"225","10/14/2015",29500,"2415 Buchanan Street","Pacific Heights","POINT (-122.43117565511076 37.792198632952065)"
"226","",NA,"231 Connecticut Street","Potrero Hill","POINT (-122.39755270536742 37.76337637486954)"
"227","",NA,"60 Majestic Avenue","Oceanview/Merced/Ingleside","POINT (-122.45146508250278 37.717560406103345)"
"228","",NA,"725 O’farrell Street","Tenderloin","POINT (-122.41672677963372 37.785295833016846)"
"229","",NA,"1637 Sacramento Street","Nob Hill","POINT (-122.41986601641044 37.791602049203235)"
"230","07/31/2017",50000,"819 27th Avenue","Outer Richmond","POINT (-122.48648704753356 37.77394230238705)"
"231","",NA,"371 Noe Street","Castro/Upper Market","POINT (-122.43297607290035 37.763114308250515)"
"232","07/30/2021",30000,"584 Mississippi Street","Potrero Hill","POINT (-122.39429420175411 37.75904945133383)"
"233","07/14/2017",11000,"341 Corbett Avenue","Castro/Upper Market","POINT (-122.44516026080476 37.75991385522523)"
"234","",NA,"2663 37th Avenue","Sunset/Parkside","POINT (-122.49468733469335 37.737318426867766)"
"235","08/09/2018",54358.75,"2005 Fulton Street","Lone Mountain/USF","POINT (-122.44988574800956 37.775346046325495)"
"236","01/04/2017",35000,"1574 35th Avenue","Sunset/Parkside","POINT (-122.49389239638829 37.75772020086912)"
"237","",NA,"518 Ellsworth Street","Bernal Heights","POINT (-122.41479443620658 37.73687474632556)"
"238","09/28/2016",40000,"862 York Street","Mission","POINT (-122.40875768204202 37.75828105228825)"
"239","",NA,"1492 09th Avenue","Inner Sunset","POINT (-122.46604309603508 37.76051103592562)"
"240","09/15/2017",40000,"1006 Page Street","Haight Ashbury","POINT (-122.43745380190546 37.77220967943624)"
"241","",NA,"1200 Gough Street","Western Addition","POINT (-122.42447231448408 37.784385351292606)"
"242","",NA,"3523 sacramento Street","Presidio Heights","POINT (-122.45074140418569 37.78768832069076)"
"243","",NA,"1463 Chestnut Street","Marina","POINT (-122.42739598994848 37.8019217041709)"
"244","01/14/2020",9280,"40 Niantic Avenue","Oceanview/Merced/Ingleside","POINT (-122.4684519593178 37.70915707512138)"
"246","",NA,"255 Lee Avenue","Oceanview/Merced/Ingleside","POINT (-122.4541588125381 37.72273173004641)"
"247","",NA,"2926 25th Street","Mission","POINT (-122.40863030535063 37.7512543182487)"
"248","",NA,"699 36th Avenue","Outer Richmond","POINT (-122.49631182217428 37.775857340487576)"
"249","02/09/2016",60000,"100 Danvers Street","Castro/Upper Market","POINT (-122.4434498191649 37.76030118922767)"
"250","12/21/2015",10000,"30 Gardenside Drive","Twin Peaks","POINT (-122.44504060874725 37.75145365245398)"
"251","08/30/2019",12562,"31 El Sereno Court","West of Twin Peaks","POINT (-122.44488989653028 37.73866402276007)"
"252","",NA,"2525 Fillmore Street","Pacific Heights","POINT (-122.43465678893774 37.79273216685378)"
"253","08/11/2017",29446,"145 Masonic Avenue","Lone Mountain/USF","POINT (-122.44755070490241 37.78064662353015)"
"254","08/21/2015",89500,"2505 Gough Street","Marina","POINT (-122.42696374165575 37.79639249603386)"
"255","",NA,"1237 Masonic Avenue","Haight Ashbury","POINT (-122.44531897991732 37.76983940340588)"
"256","10/18/2017",7500,"1185 Naples Street","Excelsior","POINT (-122.43767470893951 37.71207892361138)"
"257","09/04/2018",33000,"1290 Grove Street","Hayes Valley","POINT (-122.43777819517838 37.77598629937515)"
"258","",NA,"801 Randolph Street","Oceanview/Merced/Ingleside","POINT (-122.46992458866026 37.71425883202007)"
"259","",NA,"505 Grand View Avenue","Noe Valley","POINT (-122.44278997489342 37.751462782795855)"
"260","06/14/2019",11900,"119 Ramsell Street","Oceanview/Merced/Ingleside","POINT (-122.46623130134356 37.7130329181076)"
"261","",NA,"990 Geary Street","Tenderloin","POINT (-122.41952873129787 37.78595336431694)"
"262","",NA,"200 Van Ness Avenue","Tenderloin","POINT (-122.41963188715042 37.77737770710369)"
"263","",NA,"60 Saturn Street","Castro/Upper Market","POINT (-122.4423608704307 37.762709631729464)"
"264","",NA,"249 Edinburgh Street","Excelsior","POINT (-122.42904044927587 37.725127481743904)"
"265","",NA,"313 Winfield Street","Bernal Heights","POINT (-122.41958790188603 37.741012151807716)"
"266","06/27/2022",62821.5,"2104 24th Street","Potrero Hill","POINT (-122.40075170297844 37.75336788699049)"
"267","",NA,"109 Miramar Avenue","Oceanview/Merced/Ingleside","POINT (-122.45822548304236 37.72025546079518)"
"268","",NA,"446 26th Avenue","Outer Richmond","POINT (-122.48585949763816 37.781066527722395)"
"269","05/29/2020",6000,"1734 38th Avenue","Sunset/Parkside","POINT (-122.49689376242877 37.75453581071395)"
"270","",NA,"863 Arguello Boulevard","Inner Richmond","POINT (-122.4584545842958 37.774838352275495)"
"271","",NA,"2946 24th Street","Mission","POINT (-122.41083738786243 37.752725306999444)"
"272","",NA,"1264 Page Street","Haight Ashbury","POINT (-122.441602594816 37.771679207828036)"
"273","",NA,"1056 Divisadero Street","Western Addition","POINT (-122.43858509669072 37.77926363036403)"
"274","",NA,"3052 Cesar Chavez Street","Mission","POINT (-122.41083142668116 37.74839025913797)"
"275","05/25/2021",40000,"165 Moffitt Street","Glen Park","POINT (-122.43378441928895 37.737949725519286)"
"276","12/30/2021",10000,"1373 46th Avenue","Sunset/Parkside","POINT (-122.50601304858513 37.7609637045202)"
"277","",NA,"1954 Leavenworth Street","Russian Hill","POINT (-122.41732967847845 37.79913758573908)"
"278","07/16/2018",39400,"351 Vernon Street","Oceanview/Merced/Ingleside","POINT (-122.46809166336419 37.71880371252508)"
