"","...1","nhood_month_year","avg_rent.mq","month","year","nhood","d"
"137",137,"1 2015 potrero hill",4.84667152050274,1,2015,"potrero hill",2015-01-01
"138",138,"1 2015 presidio hts / laurel hts / lake st",3.83333333333333,1,2015,"presidio hts / laurel hts / lake st",2015-01-01
"139",139,"1 2015 russian hill",4.0726996966633,1,2015,"russian hill",2015-01-01
"140",140,"1 2015 san francisco",3.90368913410662,1,2015,"san francisco",2015-01-01
"141",141,"1 2015 sea cliff",2.85074510863718,1,2015,"sea cliff",2015-01-01
"142",142,"1 2015 SOMA / south beach",5.11960931047297,1,2015,"SOMA / south beach",2015-01-01
"143",143,"1 2015 tenderloin",5.96041666666667,1,2015,"tenderloin",2015-01-01
"144",144,"1 2015 twin peaks",3.10173697270471,1,2015,"twin peaks",2015-01-01
"145",145,"1 2015 USF / anza vista",4.2225,1,2015,"USF / anza vista",2015-01-01
"146",146,"1 2015 west portal / forest hills",1.92724122996968,1,2015,"west portal / forest hills",2015-01-01
"147",147,"1 2016 alamo square",4.66666666666667,1,2016,"alamo square",2016-01-01
"148",148,"1 2016 bayview",3.53409090909091,1,2016,"bayview",2016-01-01
"149",149,"1 2016 bernal",2.99903549382716,1,2016,"bernal",2016-01-01
"150",150,"1 2016 castro",4.80866492690715,1,2016,"castro",2016-01-01
"151",151,"1 2016 CCSF",3.99523548353768,1,2016,"CCSF",2016-01-01
"152",152,"1 2016 civic / van ness",4.49512787742528,1,2016,"civic / van ness",2016-01-01
"153",153,"1 2016 downtown",3.39192164545822,1,2016,"downtown",2016-01-01
"154",154,"1 2016 excelsior / outer mission",4.88888888888889,1,2016,"excelsior / outer mission",2016-01-01
"155",155,"1 2016 financial district",5.29442602116643,1,2016,"financial district",2016-01-01
"156",156,"1 2016 glen park",3.635,1,2016,"glen park",2016-01-01
"157",157,"1 2016 haight ashbury",3.67464349376114,1,2016,"haight ashbury",2016-01-01
"158",158,"1 2016 hayes valley",5.12222222222222,1,2016,"hayes valley",2016-01-01
"159",159,"1 2016 hunters point",3.26197757390418,1,2016,"hunters point",2016-01-01
"160",160,"1 2016 inner richmond",3.53568376068376,1,2016,"inner richmond",2016-01-01
"161",161,"1 2016 inner sunset",3.00506493506494,1,2016,"inner sunset",2016-01-01
"162",162,"1 2016 lower haight",5.75,1,2016,"lower haight",2016-01-01
"163",163,"1 2016 lower pac hts",4.20004277661333,1,2016,"lower pac hts",2016-01-01
"164",164,"1 2016 marina / cow hollow",4.61431523378582,1,2016,"marina / cow hollow",2016-01-01
"165",165,"1 2016 mission district",4.45882703605484,1,2016,"mission district",2016-01-01
"166",166,"1 2016 nob hill",5.13616354497971,1,2016,"nob hill",2016-01-01
"167",167,"1 2016 noe valley",4.11897189846368,1,2016,"noe valley",2016-01-01
"168",168,"1 2016 NOPA",5.3988190911718,1,2016,"NOPA",2016-01-01
"169",169,"1 2016 north beach / telegraph hill",3.37258815701929,1,2016,"north beach / telegraph hill",2016-01-01
"170",170,"1 2016 outer richmond",3.33333333333333,1,2016,"outer richmond",2016-01-01
"171",171,"1 2016 outer sunset",3.14612590688449,1,2016,"outer sunset",2016-01-01
"172",172,"1 2016 pacific heights",4.61919873787275,1,2016,"pacific heights",2016-01-01
"173",173,"1 2016 parkside",3.82094877344877,1,2016,"parkside",2016-01-01
"174",174,"1 2016 portola",3.23648648648649,1,2016,"portola",2016-01-01
"175",175,"1 2016 potrero hill",3.9170021809051,1,2016,"potrero hill",2016-01-01
"176",176,"1 2016 presidio hts / laurel hts / lake st",3.88894230769231,1,2016,"presidio hts / laurel hts / lake st",2016-01-01
"177",177,"1 2016 russian hill",5.19939900325717,1,2016,"russian hill",2016-01-01
"178",178,"1 2016 san francisco",3.48655124557645,1,2016,"san francisco",2016-01-01
"179",179,"1 2016 sea cliff",3.18503787878788,1,2016,"sea cliff",2016-01-01
"180",180,"1 2016 SOMA / south beach",4.48154102591218,1,2016,"SOMA / south beach",2016-01-01
"181",181,"1 2016 tenderloin",6.47024861896343,1,2016,"tenderloin",2016-01-01
"182",182,"1 2016 treasure island",5.43108808290155,1,2016,"treasure island",2016-01-01
"183",183,"1 2016 twin peaks",4.55610357583231,1,2016,"twin peaks",2016-01-01
"184",184,"1 2016 USF / anza vista",4.66666666666667,1,2016,"USF / anza vista",2016-01-01
"185",185,"1 2016 visitacion valley",5,1,2016,"visitacion valley",2016-01-01
"186",186,"1 2016 west portal / forest hills",4.66666666666667,1,2016,"west portal / forest hills",2016-01-01
"187",187,"1 2017 bayview",2.74102079395085,1,2017,"bayview",2017-01-01
"188",188,"1 2017 bernal",3.87453874538745,1,2017,"bernal",2017-01-01
"189",189,"1 2017 castro",3.37692307692307,1,2017,"castro",2017-01-01
"190",190,"1 2017 excelsior / outer mission",2.23529411764706,1,2017,"excelsior / outer mission",2017-01-01
"191",191,"1 2017 hayes valley",4.99857142857143,1,2017,"hayes valley",2017-01-01
"192",192,"1 2017 inner richmond",2.64705882352941,1,2017,"inner richmond",2017-01-01
"193",193,"1 2017 lower haight",4.15384615384615,1,2017,"lower haight",2017-01-01
"194",194,"1 2017 lower pac hts",4.18592803030303,1,2017,"lower pac hts",2017-01-01
"195",195,"1 2017 marina / cow hollow",8.30769230769231,1,2017,"marina / cow hollow",2017-01-01
"196",196,"1 2017 mission district",4.29864749430524,1,2017,"mission district",2017-01-01
"197",197,"1 2017 noe valley",4.21428571428571,1,2017,"noe valley",2017-01-01
"198",198,"1 2017 outer sunset",2.73581973581973,1,2017,"outer sunset",2017-01-01
"199",199,"1 2017 pacific heights",4.22779385604817,1,2017,"pacific heights",2017-01-01
"200",200,"1 2017 parkside",2.50153846153846,1,2017,"parkside",2017-01-01
"201",201,"1 2017 potrero hill",4.74912846632711,1,2017,"potrero hill",2017-01-01
"202",202,"1 2017 presidio hts / laurel hts / lake st",3.57246376811595,1,2017,"presidio hts / laurel hts / lake st",2017-01-01
"203",203,"1 2017 sea cliff",3.03860294117647,1,2017,"sea cliff",2017-01-01
"204",204,"1 2017 SOMA / south beach",3.81939656042676,1,2017,"SOMA / south beach",2017-01-01
"205",205,"1 2017 USF / anza vista",4.23295454545454,1,2017,"USF / anza vista",2017-01-01
"206",206,"1 2018 diamond heights",1.79918864097363,1,2018,"diamond heights",2018-01-01
"207",207,"1 2018 excelsior / outer mission",3.05263157894737,1,2018,"excelsior / outer mission",2018-01-01
"208",208,"1 2018 hayes valley",4.5,1,2018,"hayes valley",2018-01-01
"209",209,"1 2018 ingleside",4.75862068965517,1,2018,"ingleside",2018-01-01
"210",210,"1 2018 inner richmond",4.21052631578947,1,2018,"inner richmond",2018-01-01
"211",211,"1 2018 inner sunset",9.375,1,2018,"inner sunset",2018-01-01
"212",212,"1 2018 lower pac hts",4.88540540540541,1,2018,"lower pac hts",2018-01-01
"213",213,"1 2018 mission district",3.74692864175335,1,2018,"mission district",2018-01-01
"214",214,"1 2018 nob hill",4.82876148107201,1,2018,"nob hill",2018-01-01
"215",215,"1 2018 NOPA",15.5555555555556,1,2018,"NOPA",2018-01-01
"216",216,"1 2018 north beach / telegraph hill",5,1,2018,"north beach / telegraph hill",2018-01-01
"217",217,"1 2018 outer sunset",3.98259165077347,1,2018,"outer sunset",2018-01-01
"218",218,"1 2018 potrero hill",5.35981104226027,1,2018,"potrero hill",2018-01-01
"219",219,"1 2018 presidio hts / laurel hts / lake st",5.03778337531486,1,2018,"presidio hts / laurel hts / lake st",2018-01-01
"220",220,"1 2018 russian hill",3.875,1,2018,"russian hill",2018-01-01
"221",221,"1 2018 san francisco",3.88235294117647,1,2018,"san francisco",2018-01-01
"222",222,"1 2018 SOMA / south beach",5.6276630848785,1,2018,"SOMA / south beach",2018-01-01
"223",223,"10 2011 san francisco",2.15,10,2011,"san francisco",2011-10-01
"224",224,"10 2013 bayview",2.03252032520325,10,2013,"bayview",2013-10-01
"225",225,"10 2013 cole valley",5.78947368421053,10,2013,"cole valley",2013-10-01
"226",226,"10 2013 excelsior / outer mission",2.99537037037037,10,2013,"excelsior / outer mission",2013-10-01
"227",227,"10 2013 financial district",4.91655363977555,10,2013,"financial district",2013-10-01
"228",228,"10 2013 haight ashbury",3.5625,10,2013,"haight ashbury",2013-10-01
"229",229,"10 2013 inner richmond",3.225,10,2013,"inner richmond",2013-10-01
"230",230,"10 2013 inner sunset",2.85303392259914,10,2013,"inner sunset",2013-10-01
"231",231,"10 2013 lower pac hts",2.82434290582344,10,2013,"lower pac hts",2013-10-01
"232",232,"10 2013 marina / cow hollow",3.8106228956229,10,2013,"marina / cow hollow",2013-10-01
"233",233,"10 2013 mission district",2.69230769230769,10,2013,"mission district",2013-10-01
"234",234,"10 2013 nob hill",4.38301615495221,10,2013,"nob hill",2013-10-01
"235",235,"10 2013 noe valley",3.4415001794473,10,2013,"noe valley",2013-10-01
"236",236,"10 2013 NOPA",4.52631578947368,10,2013,"NOPA",2013-10-01
"237",237,"10 2013 north beach / telegraph hill",5.19675324675325,10,2013,"north beach / telegraph hill",2013-10-01
"238",238,"10 2013 outer sunset",1.98705179282869,10,2013,"outer sunset",2013-10-01
"239",239,"10 2013 pacific heights",4.67434867927258,10,2013,"pacific heights",2013-10-01
"240",240,"10 2013 parkside",2.53545751633987,10,2013,"parkside",2013-10-01
"241",241,"10 2013 potrero hill",3.4962061372014,10,2013,"potrero hill",2013-10-01
"242",242,"10 2013 presidio hts / laurel hts / lake st",3.17647058823529,10,2013,"presidio hts / laurel hts / lake st",2013-10-01
"243",243,"10 2013 russian hill",4.43506493506493,10,2013,"russian hill",2013-10-01
"244",244,"10 2013 san francisco",2,10,2013,"san francisco",2013-10-01
"245",245,"10 2013 sea cliff",2.49137229379223,10,2013,"sea cliff",2013-10-01
"246",246,"10 2013 SOMA / south beach",3.99245843994915,10,2013,"SOMA / south beach",2013-10-01
"247",247,"10 2013 tenderloin",4.125,10,2013,"tenderloin",2013-10-01
"248",248,"10 2013 twin peaks",4.36180904522613,10,2013,"twin peaks",2013-10-01
"249",249,"10 2014 castro",4.16666666666667,10,2014,"castro",2014-10-01
"250",250,"10 2014 cole valley",3.40909090909091,10,2014,"cole valley",2014-10-01
"251",251,"10 2014 diamond heights",2.32323232323232,10,2014,"diamond heights",2014-10-01
"252",252,"10 2014 excelsior / outer mission",1,10,2014,"excelsior / outer mission",2014-10-01
"253",253,"10 2014 financial district",3.84615384615385,10,2014,"financial district",2014-10-01
"254",254,"10 2014 ingleside",2.93510324483776,10,2014,"ingleside",2014-10-01
"255",255,"10 2014 inner richmond",3.42857142857143,10,2014,"inner richmond",2014-10-01
"256",256,"10 2014 lower pac hts",4.38216560509554,10,2014,"lower pac hts",2014-10-01
"257",257,"10 2014 mission district",5.23076923076923,10,2014,"mission district",2014-10-01
"258",258,"10 2014 NOPA",4.08695652173913,10,2014,"NOPA",2014-10-01
"259",259,"10 2014 pacific heights",5.27160493827161,10,2014,"pacific heights",2014-10-01
"260",260,"10 2014 russian hill",4.11947582243361,10,2014,"russian hill",2014-10-01
"261",261,"10 2014 san francisco",4.17647058823529,10,2014,"san francisco",2014-10-01
"262",262,"10 2014 sea cliff",3.17026332691072,10,2014,"sea cliff",2014-10-01
"263",263,"10 2014 SOMA / south beach",5.42214630225081,10,2014,"SOMA / south beach",2014-10-01
"264",264,"10 2014 visitacion valley",2.5095785440613,10,2014,"visitacion valley",2014-10-01
"265",265,"10 2014 west portal / forest hills",2.21342134213421,10,2014,"west portal / forest hills",2014-10-01
"266",266,"10 2015 alamo square",5.50061475409836,10,2015,"alamo square",2015-10-01
"267",267,"10 2015 bayview",3.59563826975102,10,2015,"bayview",2015-10-01
"268",268,"10 2015 bernal",4.20637958532695,10,2015,"bernal",2015-10-01
"269",269,"10 2015 castro",5.25832828588734,10,2015,"castro",2015-10-01
"270",270,"10 2015 CCSF",4.18502202643172,10,2015,"CCSF",2015-10-01
"271",271,"10 2015 civic / van ness",4.76865388628764,10,2015,"civic / van ness",2015-10-01
"272",272,"10 2015 diamond heights",2.76923076923077,10,2015,"diamond heights",2015-10-01
"273",273,"10 2015 downtown",3.07581339712919,10,2015,"downtown",2015-10-01
"274",274,"10 2015 financial district",5.16379210080021,10,2015,"financial district",2015-10-01
"275",275,"10 2015 glen park",3.14674133546404,10,2015,"glen park",2015-10-01
"276",276,"10 2015 hayes valley",5.28222222222222,10,2015,"hayes valley",2015-10-01
"277",277,"10 2015 ingleside",4.03267973856209,10,2015,"ingleside",2015-10-01
"278",278,"10 2015 inner sunset",3.60073081188794,10,2015,"inner sunset",2015-10-01
"279",279,"10 2015 lower pac hts",5.01381328487549,10,2015,"lower pac hts",2015-10-01
"280",280,"10 2015 marina / cow hollow",5.49649283318085,10,2015,"marina / cow hollow",2015-10-01
"281",281,"10 2015 mission district",4.08482607701162,10,2015,"mission district",2015-10-01
"282",282,"10 2015 nob hill",5.77783272768846,10,2015,"nob hill",2015-10-01
"283",283,"10 2015 noe valley",4.35921855921856,10,2015,"noe valley",2015-10-01
"284",284,"10 2015 NOPA",3.89721485411141,10,2015,"NOPA",2015-10-01
"285",285,"10 2015 north beach / telegraph hill",6.7,10,2015,"north beach / telegraph hill",2015-10-01
"286",286,"10 2015 outer sunset",2.18936752988048,10,2015,"outer sunset",2015-10-01
"287",287,"10 2015 pacific heights",3.56623931623932,10,2015,"pacific heights",2015-10-01
"288",288,"10 2015 parkside",2.08333333333333,10,2015,"parkside",2015-10-01
"289",289,"10 2015 portola",3.20512820512821,10,2015,"portola",2015-10-01
"290",290,"10 2015 potrero hill",4.80867977523272,10,2015,"potrero hill",2015-10-01
"291",291,"10 2015 russian hill",5.02957704131279,10,2015,"russian hill",2015-10-01
"292",292,"10 2015 san francisco",4.00478231669575,10,2015,"san francisco",2015-10-01
"293",293,"10 2015 sea cliff",2.69827578722703,10,2015,"sea cliff",2015-10-01
"294",294,"10 2015 SOMA / south beach",4.94972430756438,10,2015,"SOMA / south beach",2015-10-01
"295",295,"10 2015 tenderloin",5.17893000573723,10,2015,"tenderloin",2015-10-01
"296",296,"10 2015 western addition",4.12903225806452,10,2015,"western addition",2015-10-01
"297",297,"10 2016 alamo square",3.61111111111111,10,2016,"alamo square",2016-10-01
"298",298,"10 2016 bayview",3.79873391062308,10,2016,"bayview",2016-10-01
"299",299,"10 2016 bernal",3.69009807306157,10,2016,"bernal",2016-10-01
"300",300,"10 2016 castro",4.07748226270374,10,2016,"castro",2016-10-01
"301",301,"10 2016 CCSF",3.23785392535392,10,2016,"CCSF",2016-10-01
"302",302,"10 2016 civic / van ness",4.31531229563335,10,2016,"civic / van ness",2016-10-01
"303",303,"10 2016 cole valley",4.81345114926058,10,2016,"cole valley",2016-10-01
"304",304,"10 2016 downtown",2.97619047619048,10,2016,"downtown",2016-10-01
"305",305,"10 2016 excelsior / outer mission",5.68631368631368,10,2016,"excelsior / outer mission",2016-10-01
"306",306,"10 2016 financial district",5.97748636368625,10,2016,"financial district",2016-10-01
"307",307,"10 2016 glen park",4.02777777777778,10,2016,"glen park",2016-10-01
"308",308,"10 2016 haight ashbury",2.27150104218123,10,2016,"haight ashbury",2016-10-01
"309",309,"10 2016 hayes valley",5.81136808418227,10,2016,"hayes valley",2016-10-01
"310",310,"10 2016 ingleside",3.71875,10,2016,"ingleside",2016-10-01
"311",311,"10 2016 inner richmond",3.78571428571429,10,2016,"inner richmond",2016-10-01
"312",312,"10 2016 inner sunset",2.93149599680531,10,2016,"inner sunset",2016-10-01
"313",313,"10 2016 lower haight",4.3601808287512,10,2016,"lower haight",2016-10-01
"314",314,"10 2016 lower pac hts",4.09270833333334,10,2016,"lower pac hts",2016-10-01
"315",315,"10 2016 marina / cow hollow",3.67583580718123,10,2016,"marina / cow hollow",2016-10-01
"316",316,"10 2016 mission district",3.98171641755943,10,2016,"mission district",2016-10-01
"317",317,"10 2016 nob hill",4.499996666936,10,2016,"nob hill",2016-10-01
"318",318,"10 2016 noe valley",3.9019824702754,10,2016,"noe valley",2016-10-01
