"","Address","File.Date","Neighborhoods...Analysis.Boundaries","Location"
"88","0 Block Of Walter  Street","01/11/1999","Castro/Upper Market",""
"90","2400 Block Of Geary  Street","12/04/1998","Presidio Heights",""
"91","200 Block Of Oneida  Street","06/16/1998","Outer Mission",""
"92","600 Block Of Benton  Street","06/03/1998","Bernal Heights",""
"93","1100 Block Of Green  Street","03/31/1998","Russian Hill",""
"94","1000 Block Of Washington  Street","03/02/1998","Chinatown",""
"95","400 Block Of Dolores  Street","02/13/1998","Castro/Upper Market",""
"96","1500 Block Of Romola  Place","01/27/1998","North Beach",""
"97","1000 Block Of Washington  Street","11/18/1997","Chinatown",""
"98","500 Block Of 23rd  Avenue","10/15/1997","Outer Richmond",""
"100","3400 Block Of 20th  Street","08/04/1997","Mission",""
"101","2100 Block Of Greenwich  Street","06/16/1997","Marina",""
"102","900 Block Of Corbett  Avenue","06/02/1997","Twin Peaks",""
"103","800 Block Of North  Point","04/28/1997","Russian Hill",""
"104","3100 Block Of Scott  Street","04/10/1997","Marina",""
"107","300 Block Of Bartlett  Street","01/08/1997","Mission",""
"108","1200 Block Of Hill  Street","09/19/2013","Mission","(37.756036392911334, -122.42212784049812)"
"109","0 Block Of Fuente  Avenue","11/30/2020","Lakeshore","(37.7193996791679, -122.47806179538605)"
"110","400 Block Of Andover  Street","05/17/2016","Bernal Heights","(37.7374581861069, -122.41659375544485)"
"111","3000 Block Of Turk  Street","05/12/2022","Lone Mountain/USF","(37.777549311783524, -122.45563380206282)"
"112","3400 Block Of 26th  Street","10/30/2013","Mission","(37.74899008283973, -122.41897830097764)"
"113","2800 Block Of Clay  Street","07/09/2012","Pacific Heights","(37.78997687523825, -122.43997077780615)"
"114","2000 Block Of 29th  Avenue","07/27/2012","Sunset/Parkside","(37.74910509270464, -122.48685813622544)"
"115","1500 Block Of Fulton  Street","02/24/2022","Lone Mountain/USF","(37.7763305382556, -122.44231039046421)"
"116","1000 Block Of Mariposa  Street","09/19/2022","Potrero Hill","(37.763992682005764, -122.39421922045784)"
"117","1300 Block Of Haight  Street","05/28/2015","Haight Ashbury","(37.77031827554807, -122.4444970388784)"
"118","1100 Block Of Market  Street","08/16/2012","South of Market","(37.77956997369328, -122.41359142040496)"
"119","0 Block Of Card  Alley","09/26/2012","Chinatown","(37.79900038581224, -122.40920210111756)"
"120","200 Block Of Saint Josephs  Avenue","04/17/2018","Western Addition","(37.781758159705056, -122.44144437922667)"
"121","600 Block Of Page  Street","01/25/2018","Hayes Valley","(37.772934275575885, -122.43145459947137)"
"122","600 Block Of Spruce  Street","02/02/2017","Presidio Heights","(37.78288613483306, -122.4534105626633)"
"123","1300 Block Of Market  Street","02/23/2018","Tenderloin","(37.777044489388786, -122.41693056537846)"
"124","200 Block Of Ankeny  Street","04/24/2013","Portola","(37.71983484043399, -122.40610923612097)"
"125","0 Block Of Manchester  Street","10/26/2015","Bernal Heights","(37.74593096143219, -122.41425316814505)"
"126","100 Block Of Eureka  Street","12/01/2014","Castro/Upper Market","(37.75989248741167, -122.43818886649454)"
"127","100 Block Of Varennes  Street","05/15/2014","North Beach","(37.80120538379233, -122.4068942939776)"
"128","0 Block Of 06th  Street","11/10/2020","South of Market","(37.7811846577752, -122.40897705869108)"
"129","3000 Block Of Cesar Chavez  Street","09/01/2016","Mission","(37.74835315738248, -122.41101372645831)"
"130","1900 Block Of 32nd  Avenue","10/30/2019","Sunset/Parkside","(37.750826947661125, -122.49020457279663)"
"131","4200 Block Of Balboa  Street","01/09/2014","Outer Richmond","(37.77539696159995, -122.50428050126384)"
"132","300 Block Of Eddy  Street","05/27/2016","Tenderloin","(37.783784279295574, -122.41376459126121)"
"133","1300 Block Of 45th  Avenue","04/09/2018","Sunset/Parkside","(37.76140209624676, -122.50492219091436)"
"134","300 Block Of Linden  Street","10/22/2021","Hayes Valley","(37.77632720807802, -122.42357795065188)"
"135","2000 Block Of Broadway  Street","06/25/2021","Pacific Heights",""
"136","1700 Block Of Stockton  Street","10/24/2012","North Beach","(37.80183656601165, -122.40946521353938)"
"137","1300 Block Of Market  Street","03/23/2018","Tenderloin","(37.777044489388786, -122.41693056537846)"
"138","1300 Block Of Market  Street","02/16/2018","Tenderloin","(37.777044489388786, -122.41693056537846)"
"139","2300 Block Of Francisco  Street","01/19/2022","Marina","(37.80080197382064, -122.44386944628218)"
"140","1500 Block Of Shafter  Avenue","10/16/2015","Bayview Hunters Point","(37.7305087868314, -122.38979109413819)"
"141","1600 Block Of Grove  Street","01/15/2020","Lone Mountain/USF","(37.77519080985259, -122.44376915448481)"
"142","0 Block Of Teddy  Avenue","02/17/2017","Visitacion Valley","(37.713381388167846, -122.40328280558275)"
"143","3000 Block Of Harrison  Street","04/11/2012","Mission","(37.749192648027645, -122.41156957457706)"
"144","700 Block Of 36th  Avenue","05/17/2013","Outer Richmond","(37.77483069103967, -122.49618705986947)"
"145","2600 Block Of Hyde  Street","10/13/2015","Russian Hill","(37.80547850981984, -122.42031941554866)"
"146","400 Block Of Ellington  Avenue","02/23/2016","Outer Mission","(37.711638619698114, -122.44746485301562)"
"147","1300 Block Of Dolores  Street","03/10/2020","Noe Valley","(37.74822637207291, -122.4248906497448)"
"148","900 Block Of Stockton  Street","04/24/2014","Chinatown","(37.79450049124119, -122.40799120158421)"
"149","700 Block Of Burnett  Avenue","10/10/2012","Twin Peaks","(37.750056050154434, -122.44540809062909)"
"150","200 Block Of Leavenworth  Street","11/17/2017","Tenderloin","(37.78325911375785, -122.41414766970107)"
"151","3400 Block Of 18th  Street","03/24/2014","Mission","(37.76176831745111, -122.420470448786)"
"152","1000 Block Of Folsom  Street","04/12/2019","South of Market","(37.77696270309891, -122.40756787185973)"
"153","1200 Block Of De Haro  Street","05/11/2015","Potrero Hill","(37.753981944227654, -122.40056415259987)"
"154","2100 Block Of 43rd  Avenue","02/06/2019","Sunset/Parkside","(37.74657733919328, -122.5017337135615)"
"155","5000 Block Of Anza  Street","11/27/2012","Outer Richmond","(37.77736055591449, -122.50226975859069)"
"156","500 Block Of Broadway  Street","07/27/2021","North Beach","(37.797968614589664, -122.40585223089593)"
"157","900 Block Of Scott  Street","05/17/2016","Western Addition","(37.778472074142954, -122.43679062821855)"
"158","3500 Block Of 21st  Street","08/20/2012","Castro/Upper Market","(37.75659599798419, -122.42619970176659)"
"159","0 Block Of Bayside Village  Place","09/02/2021","Financial District/South Beach","(37.784875220120405, -122.38973256640512)"
"160","0 Block Of Chumasero  Drive","01/31/2019","Lakeshore","(37.713278458267844, -122.47292413080851)"
"161","0 Block Of Sonoma  Street","07/08/2020","North Beach","(37.80031934754713, -122.40631331146153)"
"162","100 Block Of Noriega  Street","03/15/2016","Inner Sunset","(37.75473003161414, -122.46512627611384)"
"163","500 Block Of 02nd  Avenue","03/18/2013","Inner Richmond","(37.7783562452559, -122.4597925955644)"
"164","700 Block Of Gonzalez  Drive","02/05/2016","Lakeshore","(37.71746528654667, -122.48062777506037)"
"165","2300 Block Of Larkin  Street","03/25/2022","Russian Hill","(37.799436745547766, -122.42078571940706)"
"166","3300 Block Of Cesar Chavez  Street","02/02/2017","Bernal Heights","(37.74813321462157, -122.41703989600583)"
"168","100 Block Of Cook  Street","08/06/2012","Lone Mountain/USF","(37.7811730152169, -122.45200617985239)"
"169","1300 Block Of 10th  Avenue","01/17/2013","Inner Sunset","(37.76305893483493, -122.46731818452903)"
"170","400 Block Of Ofarrell  Street","03/24/2016","Tenderloin","(37.78594458144488, -122.4117365460979)"
"171","800 Block Of Gonzalez  Drive","10/29/2018","Lakeshore","(37.71746528654667, -122.48062777506037)"
"172","0 Block Of Godeus  Street","10/24/2016","Bernal Heights","(37.74259666849379, -122.42112819427253)"
"173","1900 Block Of Fell  Street","04/30/2014","Golden Gate Park","(37.77247329221763, -122.44996494045414)"
"174","4400 Block Of Fulton  Street","11/27/2018","Golden Gate Park","(37.77279007544695, -122.47937076587905)"
"175","2000 Block Of 45th  Avenue","03/22/2019","Sunset/Parkside","(37.74834861250222, -122.5040077614626)"
"176","500 Block Of South Van Ness  Avenue","03/22/2021","Mission","(37.76437736958609, -122.41740950130017)"
"177","800 Block Of Rhode Island  Street","04/10/2018","Potrero Hill","(37.759039122498635, -122.40201816666205)"
"178","100 Block Of Alta  Street","02/17/2015","North Beach","(37.801490979770534, -122.40484305257193)"
"179","900 Block Of Lake  Street","10/20/2021","Inner Richmond","(37.78645986739782, -122.4695092205869)"
"180","700 Block Of Monterey  Boulevard","05/10/2013","West of Twin Peaks","(37.73156900749168, -122.45227792109053)"
"181","1100 Block Of California  Street","06/30/2015","Nob Hill","(37.79152177950143, -122.4132840941999)"
"182","500 Block Of Shotwell  Street","03/12/2014","Mission","(37.759631747470095, -122.41585402250269)"
"183","700 Block Of Chestnut  Street","06/02/2021","Russian Hill","(37.80344514836836, -122.41569377976566)"
"184","1900 Block Of Mission  Street","10/21/2013","Mission","(37.765862470109184, -122.41974710366974)"
"185","100 Block Of Pfeiffer  Street","05/14/2012","North Beach","(37.80477175525862, -122.40893574232788)"
"186","2100 Block Of Stockton  Street","12/29/2020","North Beach","(37.80556294213394, -122.41021721664737)"
"187","100 Block Of Lexington  Street","05/22/2017","Mission","(37.760947524204425, -122.420736134216)"
"188","800 Block Of Russia  Avenue","04/02/2018","Excelsior","(37.718338881449064, -122.4303780255476)"
"189","1700 Block Of 22nd  Street","03/04/2014","Potrero Hill","(37.757330087514504, -122.39845459438764)"
"190","1000 Block Of Sanchez  Street","02/10/2016","Noe Valley","(37.75276023906785, -122.42976953988213)"
"191","400 Block Of 12th  Avenue","03/28/2019","Inner Richmond","(37.779761981599776, -122.4706421818467)"
"192","2100 Block Of 22nd  Avenue","10/01/2021","Sunset/Parkside","(37.74757078263677, -122.4792310213006)"
"193","600 Block Of Powell  Street","05/31/2013","Nob Hill","(37.7904861893062, -122.40885294523103)"
"194","3100 Block Of Lincoln  Way","01/18/2017","Sunset/Parkside","(37.76476823518029, -122.49171805810063)"
"195","100 Block Of Alhambra  Street","06/22/2015","Marina","(37.80198837832913, -122.4387952887303)"
"196","2100 Block Of Vallejo  Street","12/03/2012","Marina","(37.79553965250866, -122.43264844909761)"
"197","1000 Block Of Pierce  Street","04/23/2018","Western Addition","(37.77938993933743, -122.4352892241106)"
"198","600 Block Of Ellis  Street","08/28/2017","Tenderloin","(37.78434229227833, -122.4168892438767)"
"199","1100 Block Of Sutter  Street","05/18/2022","Nob Hill","(37.7878614713921, -122.41929055351352)"
"200","400 Block Of Los Palmos  Drive","10/29/2013","West of Twin Peaks","(37.734482557892555, -122.45176040490352)"
"201","100 Block Of Stonecrest  Drive","08/03/2016","West of Twin Peaks",""
"202","700 Block Of Broderick  Street","04/11/2019","Western Addition","(37.77711538730732, -122.43993557772973)"
"203","1300 Block Of Market  Street","06/08/2018","Tenderloin","(37.777044489388786, -122.41693056537846)"
"204","1300 Block Of Francisco  Street","08/04/2015","Marina","(37.80289436328324, -122.42738775590362)"
"205","3900 Block Of Mission  Street","08/23/2017","Bernal Heights",""
"206","1200 Block Of Thomas  Avenue","01/17/2014","Bayview Hunters Point","(37.72670200759587, -122.38474627983045)"
"209","1000 Block Of Phelps  Street","03/12/2018","Bayview Hunters Point","(37.73891533184067, -122.392111818455)"
"210","3100 Block Of 24th  Street","04/20/2017","Mission","(37.752472857795375, -122.41462916181575)"
"211","600 Block Of Bush  Street","05/29/2012","Nob Hill","(37.79029862160254, -122.40768471833039)"
"212","3200 Block Of Folsom  Street","03/16/2020","Bernal Heights","(37.74595739311563, -122.41345419781014)"
"213","900 Block Of Edinburgh  Street","08/27/2013","Excelsior","(37.715134206409665, -122.43659352878277)"
"214","2100 Block Of Taylor  Street","02/07/2012","Russian Hill","(37.802154866057435, -122.4145867721685)"
"215","500 Block Of Arballo  Drive","02/25/2019","Lakeshore","(37.71691552646512, -122.48324007014192)"
"216","100 Block Of Cordova  Street","10/23/2017","Excelsior","(37.71192067344384, -122.4356979221686)"
"217","1100 Block Of Harrison  Street","01/25/2022","South of Market","(37.77486537593801, -122.40711705002259)"
"218","600 Block Of Andover  Street","01/02/2018","Bernal Heights","(37.73524647443651, -122.41679155353583)"
"219","1200 Block Of Egbert  Avenue","04/10/2014","Bayview Hunters Point","(37.72108105778305, -122.38983127398888)"
"220","2200 Block Of Mission  Street","09/16/2021","Mission","(37.761035605783206, -122.41928265537494)"
"221","300 Block Of 19th  Avenue","04/09/2014","Outer Richmond","(37.78134478494752, -122.47837419099365)"
"222","1700 Block Of 25th  Avenue","02/24/2017","Sunset/Parkside","(37.75489081116261, -122.48296690545506)"
"223","2400 Block Of Washington  Street","04/03/2014","Pacific Heights","(37.79169565060271, -122.4335600194423)"
"224","3400 Block Of Taraval  Street","06/20/2016","Sunset/Parkside","(37.74183745815185, -122.50301285030528)"
"225","400 Block Of Union  Street","10/27/2014","North Beach","(37.8007616260161, -122.40660450404528)"
"226","500 Block Of 26th  Avenue","08/26/2015","Outer Richmond",""
"227","700 Block Of Post  Street","08/02/2022","Tenderloin","(37.78755872346921, -122.41417469542912)"
"228","100 Block Of Font  Boulevard","06/14/2018","Lakeshore","(37.71550144751338, -122.47367196490889)"
"229","300 Block Of Arballo  Drive","02/05/2016","Lakeshore","(37.7201216986585, -122.48303711665423)"
"230","600 Block Of Francisco  Street","09/15/2015","Russian Hill","(37.80431638108404, -122.41637387636123)"
"231","600 Block Of Polk  Street","02/13/2020","Tenderloin","(37.78263533429204, -122.41908748928299)"
"232","2300 Block Of 27th  Avenue","10/08/2021","Sunset/Parkside","(37.743606512079936, -122.48432922818313)"
"233","2200 Block Of Polk  Street","07/22/2014","Russian Hill","(37.79759779819737, -122.42210189674147)"
"234","500 Block Of Naples  Street","08/15/2018","Excelsior","(37.72007710195488, -122.43179511505141)"
"235","400 Block Of Taraval  Street","09/06/2022","West of Twin Peaks","(37.74326456796907, -122.47079587290959)"
"236","1100 Block Of Church  Street","06/27/2014","Noe Valley","(37.75287080665156, -122.42754327577198)"
"237","500 Block Of John Muir  Drive","06/23/2017","Lakeshore","(37.714363024599734, -122.49198854568047)"
"238","1200 Block Of 18th  Avenue","07/22/2014","Inner Sunset","(37.764553602505096, -122.47612050601785)"
"239","2100 Block Of Taylor  Street","09/11/2017","Russian Hill","(37.802154866057435, -122.4145867721685)"
"240","2900 Block Of Washington  Street","10/27/2014","Pacific Heights","(37.790647460285015, -122.44181936732365)"
"241","900 Block Of Hayes  Street","12/19/2019","Hayes Valley","(37.77573021707612, -122.43201417037332)"
"242","0 Block Of Camp  Street","08/11/2014","Mission","(37.764002462489614, -122.42337821169977)"
"243","1900 Block Of Jefferson  Street","11/20/2013","Marina","(37.80453178887248, -122.44462559989672)"
"244","0 Block Of Woodward  Street","04/12/2021","Mission","(37.769071588573304, -122.42085763063936)"
"245","900 Block Of Folsom  Street","11/30/2021","South of Market","(37.77985265383469, -122.40390923388836)"
"246","0 Block Of Eureka  Street","09/01/2015","Castro/Upper Market","(37.76119805964524, -122.43831376227239)"
"247","600 Block Of Eddy  Street","08/10/2015","Tenderloin","(37.78320614694478, -122.41835524067054)"
"248","100 Block Of Crespi  Drive","02/20/2015","Lakeshore","(37.719069532433394, -122.47706956033629)"
"249","800 Block Of Shrader  Street","12/07/2021","Haight Ashbury","(37.76705468159086, -122.45139139755877)"
"250","0 Block Of Duncombe  Alley","09/29/2020","Chinatown",""
"251","3700 Block Of California  Street","09/25/2020","Presidio Heights","(37.78615674382904, -122.45545743505456)"
"252","400 Block Of 22nd  Avenue","10/03/2016","Outer Richmond","(37.77926863330348, -122.4814481797212)"
"253","200 Block Of Leavenworth  Street","02/13/2015","Tenderloin",""
"254","500 Block Of Chenery  Street","10/25/2018","Glen Park","(37.73505140981856, -122.43102931033798)"
"255","300 Block Of Leavenworth  Street","10/18/2019","Tenderloin","(37.784190461349574, -122.41433588630116)"
"256","100 Block Of Bucareli  Drive","02/25/2019","Lakeshore","(37.716449124851444, -122.4806601188798)"
"257","2500 Block Of Lombard  Street","03/02/2012","Marina","(37.7989471738311, -122.44349292854692)"
"258","2700 Block Of Polk  Street","11/27/2018","Russian Hill","(37.80202389419704, -122.42299480260475)"
"259","1600 Block Of Florida  Street","12/20/2013","Bernal Heights","(37.74720889897687, -122.40916815567829)"
"260","2000 Block Of Market  Street","11/18/2015","Castro/Upper Market","(37.76835375702118, -122.42773104379441)"
"261","2200 Block Of Washington  Street","10/31/2011","Pacific Heights","(37.79211268017692, -122.43026959565078)"
"262","5800 Block Of Mission  Street","02/20/2013","Outer Mission","(37.70910954408667, -122.45177419752348)"
"263","0 Block Of Colby  Street","08/05/2019","Portola","(37.73016954769669, -122.41479605944113)"
"264","1600 Block Of 22nd  Avenue","12/17/2015","Sunset/Parkside","(37.756895910807735, -122.47988112956081)"
"265","500 Block Of Diamond  Street","08/21/2013","Noe Valley","(37.753949147831385, -122.43656316927041)"
"266","400 Block Of Ofarrell  Street","04/12/2022","Tenderloin","(37.78594458144488, -122.4117365460979)"
"267","900 Block Of Mansell  Street","03/19/2019","McLaren Park","(37.719202911678444, -122.41049580156555)"
"268","0 Block Of Oakwood  Street","01/17/2018","Mission","(37.76069233926201, -122.42494402561441)"
"269","1500 Block Of Jones  Street","11/19/2018","Nob Hill","(37.79543273698387, -122.41491554362834)"
"270","500 Block Of Natoma  Street","08/28/2012","South of Market","(37.778854992357815, -122.40937362124417)"
"271","1800 Block Of Grove  Street","11/02/2015","Lone Mountain/USF","(37.774769236689345, -122.4470807364209)"
"272","100 Block Of Sickles  Avenue","12/18/2012","Outer Mission","(37.70942282228946, -122.45356835032604)"
"273","600 Block Of Tompkins  Avenue","06/03/2015","Bernal Heights","(37.737017130120265, -122.41254848285068)"
"274","1700 Block Of Filbert  Street","09/09/2020","Marina","(37.79896210605266, -122.42827976960506)"
"275","1200 Block Of Waller  Street","06/25/2015","Haight Ashbury","(37.76939061549866, -122.44428371161996)"
"276","500 Block Of Folsom  Street","09/19/2022","Financial District/South Beach","(37.786988279793036, -122.39487378689414)"
"277","500 Block Of Thornton  Avenue","09/11/2020","Bayview Hunters Point","(37.73162322630441, -122.39900643507637)"
"278","1400 Block Of Larkin  Street","02/28/2016","Nob Hill","(37.79124603345108, -122.41912897347056)"
"279","700 Block Of Athens  Street","11/04/2019","Excelsior","(37.71619989365902, -122.43254119946845)"
"280","1400 Block Of Waller  Street","12/22/2020","Haight Ashbury","(37.76891703557973, -122.44797871153165)"
"281","600 Block Of Vienna  Street","08/17/2018","Excelsior","(37.71813810699761, -122.43216938970417)"
"282","2400 Block Of 27th  Avenue","07/28/2014","Sunset/Parkside","(37.74173921776886, -122.48419795308882)"
"283","700 Block Of Guerrero  Street","03/05/2018","Mission","(37.75876034784829, -122.42357425434072)"
"284","1300 Block Of Golden Gate  Avenue","01/30/2012","Western Addition","(37.77945936889728, -122.43277387180365)"
"285","2700 Block Of 16th  Street","12/14/2020","Mission",""
"286","500 Block Of Ellis  Street","09/20/2021","Tenderloin","(37.78455299313462, -122.4152509681886)"
"287","1400 Block Of 12th  Avenue","10/07/2016","Inner Sunset","(37.761102347383975, -122.46932748975061)"
"288","1900 Block Of Baker  Street","12/30/2013","Pacific Heights","(37.789013635337454, -122.44402974454772)"
"289","1100 Block Of Howard  Street","07/30/2018","South of Market","(37.776455593749965, -122.4113102674465)"
"290","1200 Block Of 18th  Avenue","01/21/2021","Inner Sunset","(37.764553602505096, -122.47612050601785)"
"291","100 Block Of Albion  Street","06/05/2018","Mission","(37.7644489375028, -122.4228141406797)"
"292","1800 Block Of 21st  Avenue","08/09/2016","Sunset/Parkside","(37.75321382163824, -122.47855087634562)"
"293","0 Block Of Farallones  Street","06/25/2014","Oceanview/Merced/Ingleside","(37.71409027802072, -122.45411775406177)"
"294","100 Block Of Lisbon  Street","11/07/2012","Excelsior","(37.7258251787815, -122.43071155710372)"
"295","0 Block Of Niantic  Avenue","09/14/2015","Oceanview/Merced/Ingleside","(37.7090296465906, -122.46852856095266)"
"296","3100 Block Of 24th  Street","09/19/2016","Mission","(37.75240621945268, -122.41571890102804)"
"297","2000 Block Of Broadway  Street","07/27/2017","Pacific Heights","(37.79478960347494, -122.43081157235612)"
"298","2300 Block Of 28th  Avenue","03/30/2015","Sunset/Parkside","(37.743559383665335, -122.48540084046188)"
"299","1000 Block Of Clement  Street","01/23/2012","Inner Richmond","(37.78267715330681, -122.47030799277277)"
"300","200 Block Of Arleta  Avenue","12/09/2016","Visitacion Valley","(37.71418981659013, -122.40783102639728)"
"301","3400 Block Of Divisadero  Street","01/08/2018","Marina","(37.80137329354991, -122.44312905925133)"
"302","1100 Block Of Mission  Street","07/07/2021","South of Market","(37.77775137475284, -122.41278551996157)"
"303","500 Block Of Capp  Street","10/10/2017","Mission","(37.757899602868584, -122.4178883027015)"
"304","500 Block Of Ofarrell  Street","01/30/2020","Tenderloin","(37.785686031545204, -122.41379344025961)"
"305","400 Block Of University  Street","02/27/2014","Portola","(37.7244565188647, -122.41321883572397)"
"306","2300 Block Of Powell  Street","04/17/2013","North Beach","(37.80629150684872, -122.41204575588328)"
"307","800 Block Of 36th  Avenue","07/15/2016","Outer Richmond","(37.77296479576785, -122.49604368632014)"
"308","500 Block Of 33rd  Avenue","01/24/2013","Outer Richmond","(37.77873118625262, -122.49323251974901)"
"309","0 Block Of Blake  Street","11/21/2013","Presidio Heights","(37.782822970776095, -122.45128751793642)"
"310","300 Block Of Serrano  Drive","11/14/2016","Lakeshore","(37.71906512305384, -122.48046768003915)"
"311","0 Block Of Hoff  Street","03/31/2015","Mission","(37.76418591209381, -122.4205067130852)"
"312","200 Block Of Charter Oak  Avenue","05/10/2012","Bayview Hunters Point","(37.73374578047511, -122.40443338170591)"
"313","800 Block Of Oak  Street","01/11/2021","Hayes Valley","(37.77365318606888, -122.4332880421847)"
"314","500 Block Of Arballo  Drive","05/14/2018","Lakeshore","(37.7183942193985, -122.4831516017098)"
"315","600 Block Of 09th  Avenue","07/08/2013","Inner Richmond","(37.77615534364442, -122.46715334744434)"
"316","900 Block Of Guerrero  Street","01/15/2019","Mission","(37.75637349566709, -122.42325297905036)"
"317","0 Block Of Emery  Lane","03/02/2015","Chinatown","(37.79870516602969, -122.40968665208844)"
"318","300 Block Of San Jose  Avenue","05/24/2013","Mission","(37.749406453854114, -122.42133769687408)"
"319","300 Block Of Day  Street","04/30/2018","Noe Valley","(37.74269758817372, -122.42991396278241)"
"320","1600 Block Of Mcallister  Street","05/11/2016","Western Addition","(37.777690480929124, -122.43919621212981)"
"321","200 Block Of Jules  Avenue","08/23/2016","Oceanview/Merced/Ingleside","(37.72273678525294, -122.46124638863535)"
