"","nhood_month_year","count","year","nhood"
"33","2011 Western Addition",16,"2011","Western Addition"
"34","2012 Bayview Hunters Point",45,"2012","Bayview Hunters Point"
"35","2012 Bernal Heights",31,"2012","Bernal Heights"
"36","2012 Castro/Upper Market",45,"2012","Castro/Upper Market"
"37","2012 Chinatown",16,"2012","Chinatown"
"38","2012 Excelsior/Outer Mission",55,"2012","Excelsior/Outer Mission"
"39","2012 Financial District/South Beach/SOMA",51,"2012","Financial District/South Beach/SOMA"
"40","2012 Glen Park/Noe Valley",38,"2012","Glen Park/Noe Valley"
"41","2012 Golden Gate Park",7,"2012","Golden Gate Park"
"42","2012 Haight Ashbury/Hayes Valley",76,"2012","Haight Ashbury/Hayes Valley"
"43","2012 Inner Richmond",34,"2012","Inner Richmond"
"44","2012 Inner Sunset",29,"2012","Inner Sunset"
"45","2012 Japantown",4,"2012","Japantown"
"46","2012 Lakeshore",9,"2012","Lakeshore"
"47","2012 Lincoln Park",1,"2012","Lincoln Park"
"48","2012 Lone Mountain/USF",32,"2012","Lone Mountain/USF"
"49","2012 Marina",46,"2012","Marina"
"50","2012 Mission",123,"2012","Mission"
"51","2012 Mission Bay",3,"2012","Mission Bay"
"52","2012 Nob Hill",56,"2012","Nob Hill"
"53","2012 North Beach",28,"2012","North Beach"
"54","2012 Oceanview/Merced/Ingleside",20,"2012","Oceanview/Merced/Ingleside"
"55","2012 Outer Richmond",59,"2012","Outer Richmond"
"56","2012 Pacific Heights",39,"2012","Pacific Heights"
"57","2012 Portola",21,"2012","Portola"
"58","2012 Potrero Hill",28,"2012","Potrero Hill"
"59","2012 Presidio Heights",11,"2012","Presidio Heights"
"60","2012 Russian Hill",46,"2012","Russian Hill"
"61","2012 Sunset/Parkside",99,"2012","Sunset/Parkside"
"62","2012 Tenderloin",66,"2012","Tenderloin"
"63","2012 Twin Peaks",12,"2012","Twin Peaks"
"64","2012 Visitacion Valley",15,"2012","Visitacion Valley"
"65","2012 West of Twin Peaks",25,"2012","West of Twin Peaks"
"66","2012 Western Addition",26,"2012","Western Addition"
"67","2013 Bayview Hunters Point",43,"2013","Bayview Hunters Point"
"68","2013 Bernal Heights",37,"2013","Bernal Heights"
"69","2013 Castro/Upper Market",64,"2013","Castro/Upper Market"
"70","2013 Chinatown",13,"2013","Chinatown"
"71","2013 Excelsior/Outer Mission",78,"2013","Excelsior/Outer Mission"
"72","2013 Financial District/South Beach/SOMA",65,"2013","Financial District/South Beach/SOMA"
"73","2013 Glen Park/Noe Valley",38,"2013","Glen Park/Noe Valley"
"74","2013 Golden Gate Park",4,"2013","Golden Gate Park"
"75","2013 Haight Ashbury/Hayes Valley",64,"2013","Haight Ashbury/Hayes Valley"
"76","2013 Inner Richmond",41,"2013","Inner Richmond"
"77","2013 Inner Sunset",38,"2013","Inner Sunset"
"78","2013 Japantown",2,"2013","Japantown"
"79","2013 Lakeshore",86,"2013","Lakeshore"
"80","2013 Lone Mountain/USF",32,"2013","Lone Mountain/USF"
"81","2013 Marina",56,"2013","Marina"
"82","2013 McLaren Park",3,"2013","McLaren Park"
"83","2013 Mission",164,"2013","Mission"
"84","2013 Nob Hill",56,"2013","Nob Hill"
"85","2013 North Beach",58,"2013","North Beach"
"86","2013 Oceanview/Merced/Ingleside",36,"2013","Oceanview/Merced/Ingleside"
"87","2013 Outer Richmond",73,"2013","Outer Richmond"
"88","2013 Pacific Heights",48,"2013","Pacific Heights"
"89","2013 Portola",8,"2013","Portola"
"90","2013 Potrero Hill",18,"2013","Potrero Hill"
"91","2013 Presidio",1,"2013","Presidio"
"92","2013 Presidio Heights",14,"2013","Presidio Heights"
"93","2013 Russian Hill",29,"2013","Russian Hill"
"94","2013 Sunset/Parkside",99,"2013","Sunset/Parkside"
"95","2013 Tenderloin",88,"2013","Tenderloin"
"96","2013 Twin Peaks",15,"2013","Twin Peaks"
"97","2013 Visitacion Valley",13,"2013","Visitacion Valley"
"98","2013 West of Twin Peaks",39,"2013","West of Twin Peaks"
"99","2013 Western Addition",31,"2013","Western Addition"
"100","2014 Bayview Hunters Point",55,"2014","Bayview Hunters Point"
"101","2014 Bernal Heights",43,"2014","Bernal Heights"
"102","2014 Castro/Upper Market",76,"2014","Castro/Upper Market"
"103","2014 Chinatown",21,"2014","Chinatown"
"104","2014 Excelsior/Outer Mission",99,"2014","Excelsior/Outer Mission"
"105","2014 Financial District/South Beach/SOMA",63,"2014","Financial District/South Beach/SOMA"
"106","2014 Glen Park/Noe Valley",57,"2014","Glen Park/Noe Valley"
"107","2014 Golden Gate Park",12,"2014","Golden Gate Park"
"108","2014 Haight Ashbury/Hayes Valley",91,"2014","Haight Ashbury/Hayes Valley"
"109","2014 Inner Richmond",42,"2014","Inner Richmond"
"110","2014 Inner Sunset",31,"2014","Inner Sunset"
"111","2014 Japantown",8,"2014","Japantown"
"112","2014 Lakeshore",77,"2014","Lakeshore"
"113","2014 Lincoln Park",1,"2014","Lincoln Park"
"114","2014 Lone Mountain/USF",27,"2014","Lone Mountain/USF"
"115","2014 Marina",59,"2014","Marina"
"116","2014 Mission",149,"2014","Mission"
"117","2014 Mission Bay",1,"2014","Mission Bay"
"118","2014 Nob Hill",79,"2014","Nob Hill"
"119","2014 North Beach",45,"2014","North Beach"
"120","2014 Oceanview/Merced/Ingleside",38,"2014","Oceanview/Merced/Ingleside"
"121","2014 Outer Richmond",91,"2014","Outer Richmond"
"122","2014 Pacific Heights",64,"2014","Pacific Heights"
"123","2014 Portola",29,"2014","Portola"
"124","2014 Potrero Hill",32,"2014","Potrero Hill"
"125","2014 Presidio",2,"2014","Presidio"
"126","2014 Presidio Heights",15,"2014","Presidio Heights"
"127","2014 Russian Hill",52,"2014","Russian Hill"
"128","2014 Seacliff",4,"2014","Seacliff"
"129","2014 Sunset/Parkside",111,"2014","Sunset/Parkside"
"130","2014 Tenderloin",99,"2014","Tenderloin"
"131","2014 Twin Peaks",9,"2014","Twin Peaks"
"132","2014 Visitacion Valley",22,"2014","Visitacion Valley"
"133","2014 West of Twin Peaks",27,"2014","West of Twin Peaks"
"134","2014 Western Addition",40,"2014","Western Addition"
"135","2015 Bayview Hunters Point",69,"2015","Bayview Hunters Point"
"136","2015 Bernal Heights",60,"2015","Bernal Heights"
"137","2015 Castro/Upper Market",64,"2015","Castro/Upper Market"
"138","2015 Chinatown",25,"2015","Chinatown"
"139","2015 Excelsior/Outer Mission",127,"2015","Excelsior/Outer Mission"
"140","2015 Financial District/South Beach/SOMA",43,"2015","Financial District/South Beach/SOMA"
"141","2015 Glen Park/Noe Valley",45,"2015","Glen Park/Noe Valley"
"142","2015 Golden Gate Park",5,"2015","Golden Gate Park"
"143","2015 Haight Ashbury/Hayes Valley",104,"2015","Haight Ashbury/Hayes Valley"
"144","2015 Inner Richmond",40,"2015","Inner Richmond"
"145","2015 Inner Sunset",41,"2015","Inner Sunset"
"146","2015 Japantown",6,"2015","Japantown"
"147","2015 Lakeshore",70,"2015","Lakeshore"
"148","2015 Lone Mountain/USF",39,"2015","Lone Mountain/USF"
"149","2015 Marina",64,"2015","Marina"
"150","2015 McLaren Park",2,"2015","McLaren Park"
"151","2015 Mission",151,"2015","Mission"
"152","2015 Mission Bay",1,"2015","Mission Bay"
"153","2015 Nob Hill",56,"2015","Nob Hill"
"154","2015 North Beach",47,"2015","North Beach"
"155","2015 Oceanview/Merced/Ingleside",43,"2015","Oceanview/Merced/Ingleside"
"156","2015 Outer Richmond",106,"2015","Outer Richmond"
"157","2015 Pacific Heights",53,"2015","Pacific Heights"
"158","2015 Portola",31,"2015","Portola"
"159","2015 Potrero Hill",31,"2015","Potrero Hill"
"160","2015 Presidio Heights",14,"2015","Presidio Heights"
"161","2015 Russian Hill",50,"2015","Russian Hill"
"162","2015 Seacliff",3,"2015","Seacliff"
"163","2015 Sunset/Parkside",146,"2015","Sunset/Parkside"
"164","2015 Tenderloin",143,"2015","Tenderloin"
"165","2015 Twin Peaks",17,"2015","Twin Peaks"
"166","2015 Visitacion Valley",24,"2015","Visitacion Valley"
"167","2015 West of Twin Peaks",41,"2015","West of Twin Peaks"
"168","2015 Western Addition",37,"2015","Western Addition"
"169","2016 Bayview Hunters Point",70,"2016","Bayview Hunters Point"
"170","2016 Bernal Heights",40,"2016","Bernal Heights"
"171","2016 Castro/Upper Market",43,"2016","Castro/Upper Market"
"172","2016 Chinatown",18,"2016","Chinatown"
"173","2016 Excelsior/Outer Mission",100,"2016","Excelsior/Outer Mission"
"174","2016 Financial District/South Beach/SOMA",48,"2016","Financial District/South Beach/SOMA"
"175","2016 Glen Park/Noe Valley",46,"2016","Glen Park/Noe Valley"
"176","2016 Golden Gate Park",1,"2016","Golden Gate Park"
"177","2016 Haight Ashbury/Hayes Valley",88,"2016","Haight Ashbury/Hayes Valley"
"178","2016 Inner Richmond",45,"2016","Inner Richmond"
"179","2016 Inner Sunset",36,"2016","Inner Sunset"
"180","2016 Japantown",9,"2016","Japantown"
"181","2016 Lakeshore",70,"2016","Lakeshore"
"182","2016 Lone Mountain/USF",26,"2016","Lone Mountain/USF"
"183","2016 Marina",57,"2016","Marina"
"184","2016 McLaren Park",1,"2016","McLaren Park"
"185","2016 Mission",145,"2016","Mission"
"186","2016 Nob Hill",52,"2016","Nob Hill"
"187","2016 North Beach",54,"2016","North Beach"
"188","2016 Oceanview/Merced/Ingleside",36,"2016","Oceanview/Merced/Ingleside"
"189","2016 Outer Richmond",89,"2016","Outer Richmond"
"190","2016 Pacific Heights",52,"2016","Pacific Heights"
"191","2016 Portola",27,"2016","Portola"
"192","2016 Potrero Hill",28,"2016","Potrero Hill"
"193","2016 Presidio Heights",10,"2016","Presidio Heights"
"194","2016 Russian Hill",45,"2016","Russian Hill"
"195","2016 Seacliff",4,"2016","Seacliff"
"196","2016 Sunset/Parkside",112,"2016","Sunset/Parkside"
"197","2016 Tenderloin",98,"2016","Tenderloin"
"198","2016 Twin Peaks",9,"2016","Twin Peaks"
"199","2016 Visitacion Valley",24,"2016","Visitacion Valley"
"200","2016 West of Twin Peaks",29,"2016","West of Twin Peaks"
"201","2016 Western Addition",26,"2016","Western Addition"
"202","2017 Bayview Hunters Point",58,"2017","Bayview Hunters Point"
"203","2017 Bernal Heights",36,"2017","Bernal Heights"
"204","2017 Castro/Upper Market",45,"2017","Castro/Upper Market"
"205","2017 Chinatown",20,"2017","Chinatown"
"206","2017 Excelsior/Outer Mission",97,"2017","Excelsior/Outer Mission"
"207","2017 Financial District/South Beach/SOMA",41,"2017","Financial District/South Beach/SOMA"
"208","2017 Glen Park/Noe Valley",43,"2017","Glen Park/Noe Valley"
"209","2017 Golden Gate Park",4,"2017","Golden Gate Park"
"210","2017 Haight Ashbury/Hayes Valley",60,"2017","Haight Ashbury/Hayes Valley"
"211","2017 Inner Richmond",45,"2017","Inner Richmond"
"212","2017 Inner Sunset",33,"2017","Inner Sunset"
"213","2017 Japantown",2,"2017","Japantown"
"214","2017 Lakeshore",85,"2017","Lakeshore"
"215","2017 Lone Mountain/USF",32,"2017","Lone Mountain/USF"
"216","2017 Marina",38,"2017","Marina"
"217","2017 Mission",122,"2017","Mission"
"218","2017 Mission Bay",2,"2017","Mission Bay"
"219","2017 Nob Hill",43,"2017","Nob Hill"
"220","2017 North Beach",23,"2017","North Beach"
"221","2017 Oceanview/Merced/Ingleside",34,"2017","Oceanview/Merced/Ingleside"
"222","2017 Outer Richmond",73,"2017","Outer Richmond"
"223","2017 Pacific Heights",33,"2017","Pacific Heights"
"224","2017 Portola",18,"2017","Portola"
"225","2017 Potrero Hill",14,"2017","Potrero Hill"
"226","2017 Presidio Heights",19,"2017","Presidio Heights"
"227","2017 Russian Hill",41,"2017","Russian Hill"
"228","2017 Seacliff",1,"2017","Seacliff"
"229","2017 Sunset/Parkside",103,"2017","Sunset/Parkside"
"230","2017 Tenderloin",54,"2017","Tenderloin"
"231","2017 Treasure Island",1,"2017","Treasure Island"
"232","2017 Twin Peaks",8,"2017","Twin Peaks"
"233","2017 Visitacion Valley",23,"2017","Visitacion Valley"
"234","2017 West of Twin Peaks",23,"2017","West of Twin Peaks"
"235","2017 Western Addition",19,"2017","Western Addition"
"236","2018 Bayview Hunters Point",53,"2018","Bayview Hunters Point"
"237","2018 Bernal Heights",34,"2018","Bernal Heights"
"238","2018 Castro/Upper Market",32,"2018","Castro/Upper Market"
"239","2018 Chinatown",17,"2018","Chinatown"
"240","2018 Excelsior/Outer Mission",78,"2018","Excelsior/Outer Mission"
"241","2018 Financial District/South Beach/SOMA",44,"2018","Financial District/South Beach/SOMA"
"242","2018 Glen Park/Noe Valley",30,"2018","Glen Park/Noe Valley"
"243","2018 Golden Gate Park",5,"2018","Golden Gate Park"
"244","2018 Haight Ashbury/Hayes Valley",57,"2018","Haight Ashbury/Hayes Valley"
"245","2018 Inner Richmond",39,"2018","Inner Richmond"
"246","2018 Inner Sunset",24,"2018","Inner Sunset"
"247","2018 Lakeshore",153,"2018","Lakeshore"
"248","2018 Lone Mountain/USF",17,"2018","Lone Mountain/USF"
"249","2018 Marina",42,"2018","Marina"
"250","2018 Mission",116,"2018","Mission"
"251","2018 Mission Bay",1,"2018","Mission Bay"
"252","2018 Nob Hill",56,"2018","Nob Hill"
"253","2018 North Beach",26,"2018","North Beach"
"254","2018 Oceanview/Merced/Ingleside",24,"2018","Oceanview/Merced/Ingleside"
"255","2018 Outer Richmond",56,"2018","Outer Richmond"
"256","2018 Pacific Heights",31,"2018","Pacific Heights"
"257","2018 Portola",13,"2018","Portola"
"258","2018 Potrero Hill",12,"2018","Potrero Hill"
"259","2018 Presidio Heights",11,"2018","Presidio Heights"
"260","2018 Russian Hill",28,"2018","Russian Hill"
"261","2018 Seacliff",3,"2018","Seacliff"
"262","2018 Sunset/Parkside",96,"2018","Sunset/Parkside"
"263","2018 Tenderloin",112,"2018","Tenderloin"
"264","2018 Twin Peaks",10,"2018","Twin Peaks"
"265","2018 Visitacion Valley",20,"2018","Visitacion Valley"
"266","2018 West of Twin Peaks",20,"2018","West of Twin Peaks"
"267","2018 Western Addition",24,"2018","Western Addition"
